,VIMF1,VIMF2,VIMF3
1,1.5099813,-0.178957634,0.618996746
2,-0.416059965,0.498674229,-0.779365389
3,-1.499811774,0.280953159,-0.130211927
4,-0.440958631,-0.675504319,0.819104009
5,1.037683696,-0.353292689,-0.308885746
6,0.733492226,0.660702981,-0.823583143
7,-0.507714917,0.45855986,0.928447825
8,-0.883661073,-0.848679848,0.185214592
9,0.124132149,-0.4155813,-0.975465176
10,0.955487037,1.125886109,0.511779241
11,0.207408181,0.293855395,0.445749512
12,-0.892838465,-1.354857291,-0.653408886
13,-0.503844963,-0.165942505,0.044734672
14,0.496276804,1.316536817,0.176219811
15,0.611235907,0.124156969,0.22755057
16,0.021970255,-1.120275908,-0.041966974
17,-0.310087934,-0.037072784,-0.780939051
18,-0.215693459,0.930101034,0.752475763
19,-0.240956705,-0.192468883,0.581308506
20,-0.136901883,-0.775888487,-1.622337257
21,0.456839463,0.402592226,0.569029111
22,0.724342738,0.597993283,1.654061817
23,-0.030310176,-0.458517077,-1.907723666
24,-0.805255881,-0.164763918,-0.371256176
25,-0.699475874,0.323740853,2.224987475
26,0.397068963,-0.231816236,-1.170016112
27,1.050144065,-0.339604872,-1.589363472
28,0.393194411,0.732171688,2.487575702
29,-1.003175221,0.236566678,-0.245528009
30,-1.168873534,-1.160596132,-2.383010607
31,0.527478187,-0.040428316,2.158331729
32,1.543702003,1.380090955,0.564549181
33,0.396251909,0.045989212,-2.390745324
34,-1.368849394,-1.596368709,1.290846972
35,-1.398574417,-0.208396591,1.057260146
36,0.660906381,1.938162453,-1.778875406
37,1.80689711,0.160986046,0.227370627
38,0.483342476,-2.097637095,1.505525736
39,-1.385302611,0.005903768,-1.107538853
40,-1.478266972,2.101733994,-0.906296767
41,0.313985944,-0.16814349,1.692155789
42,1.625101961,-2.244333266,-0.190167689
43,0.765898038,0.259460054,-1.651565393
44,-1.020693375,2.447090955,1.375705448
45,-1.457068363,-0.372265753,0.748180053
46,0.128109206,-2.497084873,-1.835867797
47,1.538916635,0.413259845,0.362511756
48,0.716242837,2.453031569,1.575822985
49,-1.022330241,-0.329287727,-1.182961535
50,-1.321834811,-2.503821383,-1.040493453
51,0.270656107,0.356949489,1.957953155
52,1.450316211,2.514387597,-0.098820723
53,0.557490962,-0.371057112,-2.116434316
54,-1.083303745,-2.50169043,1.554509921
55,-1.213896945,0.317732751,1.209509647
56,0.256296376,2.425436764,-2.57294945
57,1.473885336,-0.134039688,0.654641599
58,0.649431935,-2.457158865,2.154741454
59,-1.093875594,0.035936436,-2.187588961
60,-1.329999809,2.503103788,-0.613541739
61,0.393609165,0.159455386,2.725901127
62,1.599550883,-2.580316193,-1.419298934
63,0.459078362,-0.382578805,-1.771203323
64,-1.375976463,2.677697606,2.829283144
65,-1.409370212,0.411481925,-0.473498555
66,0.742203918,-2.562342834,-2.27148459
67,2.110546541,-0.411574698,2.169326218
68,0.222147646,2.256832752,0.298552384
69,-2.042830734,0.720987093,-1.86184474
70,-1.485114875,-2.217692862,0.834878025
71,1.508883099,-0.74167303,1.14239958
72,2.540001455,2.117269566,-1.412545237
73,-0.540398725,0.488472866,-0.453796187
74,-3.195575993,-1.953285239,1.794595057
75,-1.069283021,-0.30305852,-0.594410913
76,3.292642069,2.042006124,-1.396906617
77,2.983229927,0.032458357,1.328387427
78,-2.157517068,-2.014018854,0.806454379
79,-4.401811816,0.378511942,-1.79193066
80,-0.090397547,1.789876105,-0.176277308
81,4.622252184,-0.86409571,2.238831704
82,2.577375295,-1.623269438,-1.072621073
83,-3.573211586,1.303038979,-2.098172428
84,-4.396851798,1.743759572,2.929404318
85,1.270915024,-2.048050115,0.097692436
86,5.169360723,-1.756844858,-3.328623293
87,1.476906963,2.791654341,2.466998256
88,-4.443643864,1.845576183,1.799072
89,-3.710780309,-3.357576906,-3.941763173
90,2.651518491,-1.918465595,0.953682553
91,4.767590072,3.607264511,3.227547782
92,-0.308193262,2.17004792,-3.040387498
93,-4.678564448,-3.824321622,-1.147434197
94,-1.707968071,-2.295100787,3.833893004
95,3.660559142,3.921500767,-1.588222934
96,2.989486795,2.282718011,-2.823831532
97,-2.279634465,-3.995287326,3.699049992
98,-3.830393527,-2.45148559,0.079084505
99,0.77616986,4.175639734,-3.686709669
100,4.114141774,2.594571975,2.590759318
101,0.956803116,-4.199007118,1.888468552
102,-3.637213476,-2.652643131,-3.938902377
103,-2.609236017,4.055774665,0.702752498
104,2.23883618,2.487196998,3.380850091
105,3.378368296,-4.054542453,-2.972310494
106,-0.397113203,-2.060154831,-1.079802918
107,-3.112202016,4.127206402,3.543751304
108,-0.948082367,1.73096068,-1.389099868
109,2.220514317,-4.287554937,-2.458552622
110,1.64977905,-1.381647984,3.01739658
111,-1.39457914,4.284509664,0.144042676
112,-1.930704048,1.037609969,-2.874324314
113,0.732255949,-4.238703026,1.926971668
114,2.012282096,-0.719185965,1.243347904
115,0.037922722,4.427780399,-2.455240192
116,-2.086897651,0.195840776,0.325680748
117,-0.633425835,-4.404089424,2.185380245
118,1.77856654,0.006243556,-1.932694613
119,1.346337571,4.640432862,-0.531017592
120,-1.245368509,-0.214750613,2.147026323
121,-1.976871151,-4.993567442,-1.249010424
122,0.444247666,0.449253017,-0.87506006
123,2.201032069,5.247033991,1.728588973
124,0.519573337,-0.62150107,-0.575838231
125,-1.848107425,-5.315972429,-0.800793014
126,-1.179665042,0.849065134,0.9899576
127,0.877961241,4.984240327,-0.634283754
128,1.692519628,-0.564825454,0.628170906
129,0.098712912,-4.896094395,-0.171858359
130,-1.41978072,0.488060858,-1.237465246
131,-0.935925022,4.677219126,1.859908093
132,0.353439744,-0.732623475,-0.282122851
133,1.112657756,-4.267566885,-2.146815167
134,0.76475781,0.960540251,2.358208433
135,-0.59319591,3.686434988,0.363242143
136,-1.329414903,-0.985505057,-2.857159011
137,-0.128651652,-2.882992159,2.157149159
138,1.05833471,0.624646147,0.832087919
139,0.947606088,2.395787615,-2.583694369
140,-0.316500791,-0.374800183,1.305435122
141,-1.329701595,-1.986326367,1.177467683
142,-0.543938787,0.340255963,-1.895012017
143,1.030671568,1.440295127,0.334291312
144,1.246931891,-0.327598477,1.277944829
145,-0.266261848,-0.894914671,-1.12211503
146,-1.572473431,0.264938976,-0.249959305
147,-0.601735597,0.496421318,1.106517438
148,1.158615777,-0.462703543,-0.810963437
149,1.383855521,0.044812407,-0.034279308
150,-0.59388381,0.360133345,0.47129525
151,-1.49082189,-0.135888626,-0.11458531
152,0.040900744,-0.28335705,-0.157809786
153,1.339495209,0.132139677,-0.236399689
154,0.421741843,0.284108417,0.518213244
155,-1.205371002,-0.254721958,0.066906139
156,-0.836230656,-0.272372714,-0.910226075
157,0.960116269,0.367353351,0.646736627
158,1.258623252,0.291208281,0.76071714
159,-0.574004773,-0.504733549,-1.506016778
160,-1.446591029,-0.145063109,0.387050437
161,-0.107808478,0.390907364,1.257545748
162,1.337947891,0.005826004,-1.378551682
163,0.849903947,-0.15014579,-0.126387546
164,-1.091939191,-0.122403643,1.216762738
165,-1.413970748,0.043093834,-0.595726936
166,0.426255033,0.110468758,-0.761455133
167,1.667237108,0.054151728,0.953425276
168,0.497660097,0.013022958,0.292445297
169,-1.501459669,-0.240262303,-1.231404009
170,-1.391949535,-0.153484247,0.414545324
171,0.824802636,0.419996659,1.114904339
172,1.720375981,0.065145308,-1.389760076
173,0.158163341,-0.43296153,-0.037902526
174,-1.662874382,-0.144018232,1.389667365
175,-1.079123271,0.479652729,-0.997237101
176,1.111513813,0.236869911,-0.613518885
177,1.59524795,-0.635517302,1.342038398
178,-0.086819881,-0.103111996,-0.130788649
179,-1.570753571,0.713755526,-1.376419186
180,-0.819724653,0.033898113,1.047093587
181,1.014309308,-0.798575315,0.818827297
182,1.38007383,0.043317136,-1.70936541
183,-0.168507893,0.87510315,0.272046968
184,-1.346279868,-0.041240529,1.754220029
185,-0.711411145,-1.060526455,-1.665596096
186,0.892479102,0.155246078,-0.601402711
187,1.147793922,1.096351786,2.133522119
188,-0.193110256,-0.237002567,-0.892092759
189,-1.058911872,-1.0294452,-1.460313541
190,-0.410018083,0.268866846,1.832560967
191,0.597974456,0.9270178,0.151271447
192,0.591316521,-0.347068138,-1.873808609
193,-0.038077066,-0.762204856,1.179697729
194,-0.487873583,0.296457276,0.862904579
195,-0.242612148,0.743828791,-1.535642156
196,0.175304544,-0.28477354,0.17848374
197,0.281814924,-0.70783325,1.198313242
198,0.076393485,0.223426789,-0.860890919
199,-0.154863374,0.642157697,-0.541734565
200,-0.191666193,-0.137493129,1.076250459
201,0.04437615,-0.480774665,-0.054646643
202,0.128292018,-0.053317857,-1.099144458
203,0.001453933,0.324680816,0.723695878
204,0.00258308,0.291284451,0.783348024
205,0.022579195,-0.224947793,-1.380207339
206,-0.047532512,-0.468767144,0.120971521
207,-0.13381005,0.086339865,1.429082371
208,-0.04902128,0.599867211,-1.21041789
209,0.16007439,0.039227502,-0.663238399
210,0.232947834,-0.683377081,1.866336453
211,-0.076844702,-0.205038682,-0.738092097
212,-0.348828536,0.807238412,-1.424825571
213,-0.0634282,0.430353022,1.953969693
214,0.457062518,-0.878160942,0.003099594
215,0.301322025,-0.6872335,-2.148823611
216,-0.341946221,1.030027474,1.780375026
217,-0.675356112,0.784360561,0.734538469
218,0.012292419,-1.089898198,-2.364438175
219,0.981945675,-0.794485315,1.222150932
220,0.470617324,0.989646246,1.216665436
221,-0.844223417,1.001552596,-1.973715994
222,-1.013792801,-0.942769228,0.33355204
223,0.338746061,-1.241918103,1.467880322
224,1.285345536,0.870007245,-1.320445916
225,0.455686927,1.572865436,-0.224088955
226,-1.120779827,-0.82470837,1.15520492
227,-1.17898264,-1.876494232,-0.623188557
228,0.528827356,0.784797027,-0.364234623
229,1.418683643,1.996931381,0.477480285
230,0.324866808,-0.589699009,0.122461576
231,-1.143679037,-2.091992081,-0.204398491
232,-0.941689792,0.421183527,-0.336464304
233,0.446581991,2.088392604,0.276828136
234,1.026893267,-0.309744799,0.574599967
235,0.282713196,-2.013952928,-0.802864029
236,-0.64039749,0.193288127,-0.344140032
237,-0.607664257,1.999910537,1.483318087
238,-0.029398351,-0.192500535,-0.810655887
239,0.44905666,-1.927633641,-1.214846517
240,0.59542546,0.249514625,2.061384939
241,0.014805824,1.689722465,-0.392509125
242,-0.693291978,-0.177941945,-1.93717988
243,-0.551213097,-1.413852612,2.064179357
244,0.248171734,-0.041024735,0.260587246
245,0.944959986,1.295751476,-2.245027341
246,0.454257313,0.164864131,1.464997765
247,-0.915848413,-1.236891981,1.035051905
248,-1.1741396,-0.204961324,-2.127895735
249,0.349220102,1.145556411,0.554329131
250,1.527885431,0.142821341,1.51039097
251,0.502919643,-1.053100722,-1.528607936
252,-1.315137452,0.027437579,-0.166768368
253,-1.140159724,1.095984011,1.45867003
254,0.597315517,-0.383980312,-1.133618533
255,1.474811474,-1.029000636,-0.164858819
256,0.192541754,0.63782389,1.050094469
257,-1.329808526,1.02998263,-0.860675225
258,-0.780083266,-0.787806914,0.078217887
259,0.859093512,-1.110401499,0.622911279
260,1.153352421,0.988785449,-0.863480197
261,-0.421632899,1.01121961,0.264123805
262,-1.406173907,-1.21347017,0.784221446
263,0.008833278,-0.748411449,-1.022158047
264,1.531440733,1.362997642,-0.08515323
265,0.48553139,0.442026076,1.260220394
266,-1.447891056,-1.409824332,-0.820212829
267,-1.100670745,-0.208726025,-0.914689206
268,1.002007454,1.344600533,1.549719602
269,1.644543001,0.071867318,0.094074172
270,-0.059755064,-1.086470781,-1.738300036
271,-1.84052129,-0.101130461,0.812343678
272,-0.986470642,0.901329193,1.5871125
273,1.299173396,-0.013778618,-2.059063102
274,1.835935293,-0.623378402,-0.371868597
275,-0.166394419,0.198339271,2.698098316
276,-2.066512781,0.298083609,-1.622986984
277,-0.957665905,-0.194710027,-1.686151028
278,1.524115048,-0.131206581,2.871565218
279,1.657546059,0.07691832,-0.367086689
280,-0.491580208,0.144391345,-2.47535462
281,-1.635003794,0.13386296,2.119559521
282,-0.530723859,-0.293007596,0.727150415
283,1.14339368,-0.206786844,-2.330115959
284,1.040705377,0.308455481,0.820594843
285,-0.440754135,0.263768158,1.49897148
286,-1.074197506,-0.296851838,-1.557337523
287,-0.177393258,-0.331902932,-0.421209951
288,0.723806196,0.259593756,1.542164793
289,0.559652894,0.478448764,-0.339695131
290,-0.308399196,-0.341536058,-1.349475895
291,-0.536865943,-0.518757072,1.088318932
292,-0.021058899,0.406683265,0.796259067
293,0.343787136,0.576508969,-1.626223119
294,0.003167515,-0.599068184,0.021579926
295,-0.032857114,-0.429453987,2.011507279
296,0.031134539,0.503611519,-1.663835962
297,0.012102979,0.509640236,-0.872527881
298,-0.057607643,-0.347097338,2.613376538
299,-0.038995155,-0.601468987,-1.218923341
300,0.092581261,0.211424558,-1.868126319
301,0.120349579,0.676425087,2.84229571
302,-0.331659127,-0.335064792,-0.497043722
