Date,High
2011/5/2,1370.58
2011/5/3,1360.84
2011/5/4,1355.9
2011/5/5,1348
2011/5/6,1354.36
2011/5/9,1349.44
2011/5/10,1359.44
2011/5/11,1354.51
2011/5/12,1351.05
2011/5/13,1350.47
2011/5/16,1343.33
2011/5/17,1330.42
2011/5/18,1341.82
2011/5/19,1346.82
2011/5/20,1342
2011/5/23,1333.07
2011/5/24,1323.72
2011/5/25,1325.86
2011/5/26,1328.51
2011/5/27,1334.62
2011/5/31,1345.2
2011/6/1,1345.2
2011/6/2,1318.03
2011/6/3,1312.94
2011/6/6,1300.26
2011/6/7,1296.22
2011/6/8,1287.04
2011/6/9,1294.54
2011/6/10,1288.6
2011/6/13,1277.04
2011/6/14,1292.5
2011/6/15,1287.87
2011/6/16,1274.11
2011/6/17,1279.82
2011/6/20,1280.42
2011/6/21,1297.62
2011/6/22,1298.61
2011/6/23,1286.6
2011/6/24,1283.93
2011/6/27,1284.91
2011/6/28,1296.8
2011/6/29,1309.21
2011/6/30,1321.97
2011/7/1,1341.01
2011/7/5,1340.89
2011/7/6,1340.94
2011/7/7,1356.48
2011/7/8,1352.39
2011/7/11,1343.31
2011/7/12,1327.17
2011/7/13,1331.48
2011/7/14,1326.88
2011/7/15,1317.7
2011/7/18,1315.94
2011/7/19,1328.14
2011/7/20,1330.43
2011/7/21,1347
2011/7/22,1346.1
2011/7/25,1344.32
2011/7/26,1338.51
2011/7/27,1331.91
2011/7/28,1316.32
2011/7/29,1304.16
2011/8/1,1307.38
2011/8/2,1286.56
2011/8/3,1261.2
2011/8/4,1260.23
2011/8/5,1218.11
2011/8/8,1198.48
2011/8/9,1172.88
2011/8/10,1171.77
2011/8/11,1186.29
2011/8/12,1189.04
2011/8/15,1204.49
2011/8/16,1204.22
2011/8/17,1208.47
2011/8/18,1189.62
2011/8/19,1154.54
2011/8/22,1145.49
2011/8/23,1162.35
2011/8/24,1178.56
2011/8/25,1190.68
2011/8/26,1181.23
2011/8/29,1210.28
2011/8/30,1220.1
2011/8/31,1230.71
2011/9/1,1229.29
2011/9/2,1203.9
2011/9/6,1173.97
2011/9/7,1198.62
2011/9/8,1204.4
2011/9/9,1185.37
2011/9/12,1162.52
2011/9/13,1176.41
2011/9/14,1202.38
2011/9/15,1209.11
2011/9/16,1220.06
2011/9/19,1214.99
2011/9/20,1220.39
2011/9/21,1206.3
2011/9/22,1164.55
2011/9/23,1141.72
2011/9/26,1164.19
2011/9/27,1195.86
2011/9/28,1184.71
2011/9/29,1175.87
2011/9/30,1159.93
2011/10/3,1138.99
2011/10/4,1125.12
2011/10/5,1146.07
2011/10/6,1165.55
2011/10/7,1171.4
2011/10/10,1194.91
2011/10/11,1199.24
2011/10/12,1220.25
2011/10/13,1207.46
2011/10/14,1224.61
2011/10/17,1224.47
2011/10/18,1233.1
2011/10/19,1229.64
2011/10/20,1219.53
2011/10/21,1239.03
2011/10/24,1256.55
2011/10/25,1254.19
2011/10/26,1246.28
2011/10/27,1292.66
2011/10/28,1287.08
2011/10/31,1284.96
2011/11/1,1251
2011/11/2,1242.48
2011/11/3,1263.21
2011/11/4,1260.82
2011/11/7,1261.7
2011/11/8,1277.55
2011/11/9,1275.18
2011/11/10,1246.22
2011/11/11,1266.98
2011/11/14,1263.85
2011/11/15,1264.25
2011/11/16,1259.61
2011/11/17,1237.73
2011/11/18,1223.51
2011/11/21,1215.62
2011/11/22,1196.81
2011/11/23,1187.48
2011/11/25,1172.66
2011/11/28,1197.35
2011/11/29,1203.67
2011/11/30,1247.11
2011/12/1,1251.09
2011/12/2,1260.08
2011/12/5,1266.73
2011/12/6,1266.03
2011/12/7,1267.06
2011/12/8,1260.87
2011/12/9,1258.25
2011/12/12,1255.05
2011/12/13,1249.86
2011/12/14,1225.73
2011/12/15,1225.6
2011/12/16,1231.04
2011/12/19,1224.57
2011/12/20,1242.82
2011/12/21,1245.09
2011/12/22,1255.22
2011/12/23,1265.42
2011/12/27,1269.37
2011/12/28,1265.85
2011/12/29,1263.54
2011/12/30,1264.12
2012/1/3,1284.62
2012/1/4,1278.73
2012/1/5,1283.05
2012/1/6,1281.84
2012/1/9,1281.99
2012/1/10,1296.46
2012/1/11,1293.8
2012/1/12,1296.82
2012/1/13,1294.82
2012/1/17,1303
2012/1/18,1308.11
2012/1/19,1315.49
2012/1/20,1315.38
2012/1/23,1322.28
2012/1/24,1315.96
2012/1/25,1328.3
2012/1/26,1333.47
2012/1/27,1320.06
2012/1/30,1316.16
2012/1/31,1321.41
2012/2/1,1330.52
2012/2/2,1329.19
2012/2/3,1345.34
2012/2/6,1344.36
2012/2/7,1349.24
2012/2/8,1351
2012/2/9,1354.32
2012/2/10,1351.21
2012/2/13,1353.35
2012/2/14,1351.3
2012/2/15,1355.87
2012/2/16,1359.02
2012/2/17,1363.4
2012/2/21,1367.76
