,IMF1
1,11.27156928
2,3.017740138
3,1.546465292
4,-3.959988663
5,2.486244276
6,-3.905141617
7,4.568488872
8,-0.661058526
9,-2.048221903
10,2.881530299
11,1.749566931
12,-8.003048164
13,1.482937026
14,4.367972003
15,1.787377811
16,-0.904243039
17,-3.585835081
18,1.136843862
19,-0.387767191
20,-2.330743028
21,3.833048808
22,8.509875084
23,-6.771963626
24,0.761829388
25,-1.803841128
26,1.621688959
27,-3.891069557
28,4.986077209
29,1.166184937
30,-8.730105108
31,6.220383526
32,3.431276496
33,-4.905122373
34,1.248952488
35,-5.04597488
36,4.302414558
37,4.040729279
38,-3.300965399
39,-2.34680601
40,-3.244877427
41,0.574631804
42,0.005833828
43,-1.337308031
44,5.477161421
45,-1.914853542
46,-6.324873915
47,5.353641087
48,2.105130624
49,0.532934518
50,-6.438561584
51,3.614155709
52,3.504381003
53,-2.255184312
54,-4.015786639
55,3.657397474
56,-2.757823735
57,4.832074458
58,-0.094126912
59,-0.716017238
60,-0.388039713
61,3.03162956
62,-1.792594769
63,-5.000566139
64,7.432610404
65,-0.020053815
66,-8.55273353
67,11.4811682
68,-3.750070226
69,3.122568627
70,-4.885846675
71,-2.559895345
72,5.06698918
73,-2.663389953
74,2.024867797
75,-3.764144668
76,6.823135358
77,6.485823244
78,-6.952924653
79,-7.328722099
80,1.389062359
81,3.645052264
82,5.845818866
83,-11.08006504
84,4.397744446
85,-1.618925864
86,2.116133151
87,8.926486064
88,1.130160777
89,-17.14905091
90,5.712084777
91,10.81720673
92,1.625632183
93,-12.02459442
94,-3.224533162
95,6.57185124
96,-1.750531816
97,0.10527889
98,-7.57775854
99,4.219828375
100,10.18257584
101,-4.551771269
102,-13.78339912
103,-0.830892536
104,13.07351449
105,-3.302773311
106,-1.00074949
107,2.816302358
108,0.14835779
109,-7.799606022
110,2.963762794
111,4.932390488
112,-5.568939977
113,4.337122338
114,-3.379270185
115,8.75511184
116,-9.303208496
117,3.206884156
118,-1.777306876
119,4.278323574
120,1.352485156
121,-10.25368824
122,1.749630932
123,11.28440419
124,2.559365062
125,-16.91640551
126,12.26553538
127,-1.536152368
128,6.735814437
129,-8.200085892
130,-7.617178859
131,8.882288485
132,-1.923703731
133,-7.396502295
134,6.822648166
135,8.972780142
136,-13.76120755
137,6.642466967
138,-0.387073436
139,0.265393647
140,3.450126565
141,-4.212566277
142,-2.67052228
143,3.627789066
144,-0.87477274
145,2.103889715
146,-8.462450084
147,6.515596708
148,-8.256347753
149,11.52130794
150,-1.732191355
151,-2.125060938
152,0.444090676
153,-1.027256363
154,1.542479691
155,-1.980741037
156,-1.265182389
157,0.835278812
158,5.382360272
159,-7.315368959
160,-1.725210786
161,4.040544299
162,-6.126330319
163,3.754538024
164,-3.56723635
165,-1.702270625
166,0.642415307
167,1.193564019
168,-0.553459739
169,-2.500246971
170,-6.905011602
171,6.005147148
172,-3.90056452
173,0.692969203
174,-0.334107968
175,-3.847176802
176,5.499935572
177,0.29787918
178,1.712627131
179,-2.759566729
180,1.198181037
181,0.265553061
182,1.788704911
183,-1.692393368
184,3.162365297
185,-6.577971518
186,1.162789728
187,6.12025786
188,-2.679609074
189,-3.574556374
190,-0.05718466
191,3.736262519
192,-5.103717748
193,4.006096283
194,-1.104883835
195,0.15676041
196,-1.566951606
197,0.990136291
198,-0.829747831
199,2.065382657
200,-1.586455144
201,0.056665236
202,-0.316095062
203,-0.137592701
204,2.073203084
205,-2.326328191
206,-0.97228119
207,0.914168545
208,0.253365342
209,-1.038637272
210,2.658109349
211,-0.064631906
212,0.357854488
213,1.660690784
214,1.685035138
215,-5.347881663
216,3.910644872
217,3.063703353
218,-6.787870974
219,5.962384865
220,0.692643458
221,-1.290730614
222,-2.555516738
223,2.750040601
224,-0.169653985
225,2.298694705
226,-0.275906876
227,-7.08986711
228,3.938992528
229,3.676946364
230,0.57750542
231,-4.974349362
232,-2.118092289
233,4.30080796
234,0.464046381
235,-0.774283053
236,-3.229922809
237,4.103454191
238,-0.268262362
239,-5.434655924
240,4.989537396
241,2.329950288
242,-6.195144056
243,3.611383497
244,-1.925947558
245,-0.539996566
246,2.750733057
247,-1.34614701
248,-5.57189337
249,2.902279344
250,4.050951005
251,1.324941525
252,-5.65146078
253,4.845194901
254,-3.578201044
255,1.904606263
256,3.430437039
257,-2.568454653
258,-0.51451668
259,-2.976251094
260,0.712384911
261,3.768611688
262,-3.476824817
263,-2.453808203
264,4.601868977
265,0.944493428
266,-5.300491588
267,-0.926166268
268,7.90844554
269,-1.779981564
270,-0.674519136
271,-3.905606247
272,3.477869943
273,0.709228938
274,-0.508472309
275,7.016061826
276,-6.58994868
277,-3.869933539
278,6.627437777
279,3.979842156
280,-6.198259393
281,4.31113173
282,-3.606636636
283,-0.618677892
284,1.432517451
285,2.111650423
286,-4.511168687
287,1.756004304
288,-1.016261296
289,4.162281518
290,-4.060679083
291,2.306979638
292,-3.253713959
293,5.276755966
294,-7.653668639
295,7.668347154
296,-1.77637374
297,0.842735397
298,1.196164659
299,-1.064391796
300,-7.459240728
301,6.680068857
302,-2.795557283
303,-5.113475935
304,6.256529034
305,-1.865728949
306,-1.966675367
307,0.259513372
308,1.601149788
309,1.663294924
310,-0.247201583
311,0.916184829
312,-6.227227353
313,-1.557293228
314,6.128481102
315,0.804742165
316,-1.196752793
317,1.024178415
318,-8.724609116
319,4.164376732
320,1.77479867
321,3.731622798
322,-1.551506928
323,-0.655276909
324,-0.34235921
325,-0.71327408
326,2.252457473
327,-2.606049044
328,2.764531947
329,0.108728335
330,-3.356544225
331,4.93212684
332,-1.91956549
333,-0.870662376
334,-0.260701657
335,1.407319089
336,-0.988873766
337,0.006259692
338,-2.205620329
339,3.166911991
340,-0.546574895
341,-6.911186657
342,5.327436836
343,2.336899297
344,0.054307101
345,-1.558529118
346,-7.343689714
347,3.737280118
348,4.712277928
349,-4.772038703
350,-4.247193892
351,2.132382328
352,-2.507255073
353,2.380842906
354,-1.65447383
355,7.156490747
356,-7.905074132
357,3.155948596
358,-1.281749115
359,6.291807472
360,-1.984857957
361,-3.370798029
362,0.403309433
363,5.204081796
364,-1.817256635
365,1.590188151
366,-2.262803998
367,4.071595523
368,-1.874354091
369,-3.59596482
370,2.527974858
371,1.70736853
372,2.641447525
373,3.453680671
374,-6.064945051
375,2.694422721
376,-3.754702855
377,2.106536204
378,-1.134959309
379,-3.13591795
380,1.091038304
381,4.56963389
382,-9.546064081
383,4.731172601
384,7.072143294
385,-4.71303066
386,-1.563177474
387,-2.224820292
388,4.672222732
389,2.811946538
390,-8.179994296
391,-6.125771435
392,9.274199646
393,0.301315939
394,-7.046141094
395,4.012441245
396,-0.230168601
397,-2.028199452
398,-2.708871268
399,2.751034305
400,-1.176474248
401,3.66528836
402,-3.795107691
403,1.587517316
404,-0.488091431
405,1.807384692
406,-4.324332364
407,0.921042051
408,3.327732095
409,0.839916796
410,-7.488641094
411,-1.087384522
412,6.534102078
413,0.294746534
414,-2.296859185
415,3.46979126
416,-3.140170013
417,3.159306498
418,2.565791597
419,-2.694056467
420,-7.551150807
421,8.606606397
422,-1.134129241
423,-0.545680093
424,0.884421621
425,-1.981083897
426,-1.416881598
427,0.791780965
428,-1.571759054
429,-1.566325125
430,-0.033454009
431,-2.627710204
432,2.595606547
433,-1.999931944
434,-0.325598073
435,-0.929325187
436,1.595557413
437,0.299104606
438,-1.264621627
439,2.944349628
440,2.824598001
441,-4.429185215
442,2.665425532
443,-0.761563821
444,0.755302958
445,-1.194924094
446,-1.732769922
447,1.154337852
448,-1.238131867
449,0.451070127
450,1.166104773
451,-1.163715219
452,-2.597440121
453,1.900808415
454,4.604827363
455,-8.279797511
456,-1.68661711
457,11.35303496
458,-12.12381138
459,5.836159527
460,5.321331967
461,-4.638080216
462,-4.528061878
463,6.195897312
464,1.181555835
465,-3.312967444
466,-0.31877907
