,IMF1,IMF2,IMF3,IMF4,IMF5,IMF6,IMF7,IMF8,IMF9,Res
1,11.80302533,4.725681623,3.088956393,4.353909743,25.43193731,7.929886841,67.48157787,-20.36792465,-42.3217957,1296.464745
2,4.130560206,3.021226288,2.87680569,4.187798623,25.59728236,8.032557823,67.99371073,-20.34362239,-42.50256502,1296.526246
3,2.02380302,-2.089143321,1.947783279,3.846432883,25.58485644,8.145013997,68.45660398,-20.32432755,-42.68138105,1296.590358
4,-5.62511465,-5.454393254,0.874634055,3.364823972,25.38341437,8.268801295,68.86907589,-20.31009088,-42.85823717,1296.657086
5,-0.035519571,-3.430945047,0.241407687,2.795726903,24.98064534,8.40625848,69.23007952,-20.30095881,-43.03312743,1296.726433
6,-0.864182423,1.338092166,0.213771806,2.193319945,24.36442612,8.56054498,69.53864462,-20.29697146,-43.20604648,1296.798401
7,6.637651778,4.492054037,0.346095499,1.614331197,23.52315851,8.735003366,69.7938641,-20.29816103,-43.37698972,1296.872992
8,-2.988324405,3.617211765,0.129841986,1.127850313,22.44596407,8.93284704,69.99490135,-20.30454858,-43.54595328,1296.95021
9,-2.820076999,1.219251449,-0.601143775,0.810273184,21.12254616,9.157202001,70.14097075,-20.3161437,-43.71293404,1297.030055
10,3.512915788,-1.411854985,-1.539180808,0.709499231,19.54446823,9.411145309,70.231351,-20.33294361,-43.87792965,1297.112529
11,1.211266904,-3.002635648,-2.213326378,0.853997498,17.7059269,9.697587952,70.26541813,-20.35493137,-44.04093853,1297.197635
12,-6.764954985,-2.12021729,-2.425320451,1.25278391,15.60451936,10.01925672,70.24259462,-20.38207317,-44.20195975,1297.285371
13,-1.304554642,1.91780508,-2.317401227,1.909203658,13.24346694,10.37869815,70.16235511,-20.41431961,-44.36099317,1297.37574
14,6.615732676,5.272746294,-2.268082176,2.80418435,10.63373089,10.77834978,70.02424551,-20.45160891,-44.51803937,1297.468741
15,3.940296056,4.148786453,-2.550999689,3.892323094,7.793910909,11.2203853,69.82789237,-20.49386953,-44.67309976,1297.564375
16,-6.613760141,-1.158037502,-2.760479131,5.088274618,4.749049796,11.70648188,69.57302751,-20.54102145,-44.82617657,1297.662641
17,0.858525358,-6.371107383,-2.109109876,6.272145301,1.529052915,12.23771907,69.25948575,-20.59297718,-44.97727289,1297.763539
18,-0.212203583,-7.154611297,-0.106499046,7.311167803,-1.830662363,12.81460111,68.88717544,-20.64964336,-45.12639241,1297.867068
19,-2.686259386,-2.52409303,2.947163221,8.081665215,-5.290204997,13.43687329,68.45609078,-20.71092191,-45.27353941,1297.973226
20,1.878445224,4.276648803,5.902030898,8.481895796,-8.805549663,14.10363554,67.96630921,-20.77671029,-45.41871878,1298.082013
21,6.629410958,6.976154557,7.375708994,8.431097146,-12.32820036,14.81326641,67.41797314,-20.84690223,-45.56193599,1298.193427
22,-3.030423659,3.817625942,6.786386169,7.883860927,-15.80512171,15.56351382,66.81127739,-20.9213888,-45.70319701,1298.307467
23,-0.133212596,-0.488246584,4.510791097,6.821066253,-19.18014503,16.35172371,66.14645934,-21.00005823,-45.8425082,1298.42413
24,2.574524202,-3.346607217,1.70988108,5.277851838,-22.39517303,17.17497353,65.42380511,-21.0827947,-45.9798763,1298.543415
25,-2.663943258,-4.148001627,-0.465733052,3.333337896,-25.38982796,18.02997472,64.64365952,-21.16947865,-46.1153083,1298.665321
26,2.451991648,-3.016932073,-1.682437961,1.088590161,-28.10171512,18.91302342,63.80643534,-21.25998795,-46.24881141,1298.789844
27,-1.916902511,-0.587234165,-2.166537924,-1.355462733,-30.46909045,19.82022267,62.91261364,-21.35419854,-46.38039305,1298.916983
28,3.232607573,1.380684768,-2.456484627,-3.887340609,-32.43446869,20.74757133,61.96274026,-21.45198513,-46.5100608,1299.046736
29,-4.155646911,1.92259591,-2.795338427,-6.381618053,-33.94614827,21.69066349,60.95743582,-21.55322147,-46.63782243,1299.1791
30,-3.028764945,1.961201549,-3.056964605,-8.71171819,-34.95826627,22.64448056,59.89742419,-21.65778046,-46.76368583,1299.314074
31,6.236728161,1.844271542,-2.859715056,-10.75325351,-35.43319091,23.6031843,58.78351426,-21.76553432,-46.8876591,1299.451655
32,-0.748821536,-0.731221124,-1.782980633,-12.37774451,-35.3420067,24.56046166,57.61657785,-21.87635436,-47.00975048,1299.59184
33,-2.205342997,-4.107803557,0.012230516,-13.48387581,-34.6665227,25.50921088,56.39755635,-21.99011152,-47.12996836,1299.734627
34,3.389692745,-2.574549864,1.897605444,-14.00938148,-33.39744557,26.44160654,55.1274555,-22.10667629,-47.24832129,1299.880014
35,-4.86848029,3.363547749,2.9352585,-13.92864466,-31.5354275,27.34911039,53.80737414,-22.22591894,-47.36481796,1300.027999
36,-0.491638684,8.099429076,2.120658274,-13.24457003,-29.09635008,28.22258865,52.43848212,-22.34770974,-47.47946715,1300.178578
37,9.171359779,6.162023254,-0.786630671,-11.98731859,-26.11159207,29.05258999,51.02201628,-22.47191883,-47.59227774,1300.331749
38,-7.748699693,-1.107168354,-4.986415574,-10.23858847,-22.62380557,29.82955257,49.55929093,-22.59841611,-47.70325878,1300.487509
39,0.421595091,-6.174766167,-8.899500139,-8.123471841,-18.68553778,30.5436433,48.05167173,-22.72707098,-47.81241943,1300.645856
40,-2.82287758,-6.58176102,-10.62576826,-5.795656316,-14.35862966,31.18485874,46.50056815,-22.85775248,-47.91976894,1300.806787
41,0.238125696,-4.533576489,-8.940293006,-3.446201818,-9.713279152,31.74311773,44.90745345,-22.99032953,-48.02531668,1300.9703
42,3.18341187,-1.56291983,-4.009507653,-1.297824238,-4.827989447,32.20831744,43.27386461,-23.12467135,-48.12907209,1301.136391
43,-0.34517895,0.517237285,2.834780731,0.436089201,0.211660611,32.57065523,41.60139042,-23.26064706,-48.23104473,1301.305057
44,-2.952391661,2.098520727,9.66474423,1.595950474,5.313811388,32.82077111,39.89166685,-23.39812554,-48.33124426,1301.476297
45,3.254926624,3.222868415,14.5516538,2.10952014,10.38133109,32.94987358,38.14637623,-23.53697551,-48.42968046,1301.650106
46,-5.092801038,3.547957479,16.21977681,1.990532646,15.31461132,32.94963577,36.36723346,-23.67706583,-48.52636319,1301.826483
47,3.994286773,3.009720371,14.33566057,1.333389896,20.01296607,32.81214,34.55598104,-23.81826555,-48.6213024,1302.005423
