Date,Low
2011/5/2,1358.59
2011/5/3,1349.52
2011/5/4,1341.5
2011/5/5,1329.17
2011/5/6,1335.58
2011/5/9,1338.64
2011/5/10,1348.34
2011/5/11,1336.36
2011/5/12,1332.03
2011/5/13,1333.36
2011/5/16,1327.32
2011/5/17,1318.51
2011/5/18,1326.59
2011/5/19,1336.36
2011/5/20,1330.67
2011/5/23,1312.88
2011/5/24,1313.87
2011/5/25,1311.8
2011/5/26,1314.41
2011/5/27,1325.69
2011/5/31,1331.1
2011/6/1,1313.71
2011/6/2,1305.61
2011/6/3,1297.9
2011/6/6,1284.72
2011/6/7,1284.74
2011/6/8,1277.42
2011/6/9,1279.63
2011/6/10,1268.28
2011/6/13,1265.64
2011/6/14,1272.22
2011/6/15,1261.9
2011/6/16,1258.07
2011/6/17,1267.4
2011/6/20,1267.56
2011/6/21,1278.4
2011/6/22,1286.79
2011/6/23,1262.87
2011/6/24,1267.24
2011/6/27,1267.53
2011/6/28,1280.21
2011/6/29,1296.85
2011/6/30,1307.64
2011/7/1,1318.18
2011/7/5,1334.3
2011/7/6,1330.92
2011/7/7,1339.62
2011/7/8,1333.71
2011/7/11,1316.42
2011/7/12,1313.33
2011/7/13,1314.45
2011/7/14,1306.51
2011/7/15,1307.52
2011/7/18,1295.92
2011/7/19,1307.07
2011/7/20,1323.65
2011/7/21,1325.65
2011/7/22,1336.95
2011/7/25,1331.09
2011/7/26,1329.59
2011/7/27,1303.49
2011/7/28,1299.16
2011/7/29,1282.86
2011/8/1,1274.73
2011/8/2,1254.03
2011/8/3,1234.56
2011/8/4,1199.54
2011/8/5,1168.09
2011/8/8,1119.28
2011/8/9,1101.54
2011/8/10,1118.01
2011/8/11,1121.3
2011/8/12,1170.74
2011/8/15,1178.86
2011/8/16,1180.53
2011/8/17,1184.36
2011/8/18,1131.03
2011/8/19,1122.05
2011/8/22,1121.09
2011/8/23,1122.91
2011/8/24,1156.3
2011/8/25,1155.47
2011/8/26,1135.91
2011/8/29,1177.91
2011/8/30,1195.77
2011/8/31,1209.35
2011/9/1,1203.85
2011/9/2,1170.56
2011/9/6,1140.13
2011/9/7,1165.85
2011/9/8,1183.34
2011/9/9,1148.37
2011/9/12,1136.07
2011/9/13,1157.44
2011/9/14,1162.73
2011/9/15,1189.44
2011/9/16,1204.46
2011/9/19,1188.36
2011/9/20,1201.29
2011/9/21,1166.21
2011/9/22,1114.22
2011/9/23,1121.36
2011/9/26,1131.07
2011/9/27,1163.32
2011/9/28,1150.4
2011/9/29,1139.93
2011/9/30,1131.34
2011/10/3,1098.92
2011/10/4,1074.77
2011/10/5,1115.68
2011/10/6,1134.95
2011/10/7,1150.26
2011/10/10,1158.15
2011/10/11,1187.3
2011/10/12,1196.19
2011/10/13,1190.58
2011/10/14,1205.65
2011/10/17,1198.55
2011/10/18,1191.48
2011/10/19,1206.31
2011/10/20,1197.34
2011/10/21,1215.39
2011/10/24,1238.72
2011/10/25,1226.79
2011/10/26,1221.06
2011/10/27,1243.97
2011/10/28,1277.01
2011/10/31,1253.16
2011/11/1,1215.42
2011/11/2,1219.62
2011/11/3,1234.81
2011/11/4,1238.92
2011/11/7,1240.75
2011/11/8,1254.99
2011/11/9,1226.64
2011/11/10,1227.7
2011/11/11,1240.12
2011/11/14,1246.68
2011/11/15,1244.34
2011/11/16,1235.67
2011/11/17,1209.43
2011/11/18,1211.36
2011/11/21,1183.16
2011/11/22,1181.65
2011/11/23,1161.79
2011/11/25,1158.66
2011/11/28,1158.67
2011/11/29,1191.8
2011/11/30,1196.72
2011/12/1,1239.73
2011/12/2,1243.35
2011/12/5,1244.33
2011/12/6,1253.03
2011/12/7,1244.8
2011/12/8,1231.47
2011/12/9,1234.48
2011/12/12,1227.25
2011/12/13,1219.43
2011/12/14,1209.47
2011/12/15,1212.12
2011/12/16,1215.2
2011/12/19,1202.37
2011/12/20,1205.72
2011/12/21,1229.51
2011/12/22,1243.72
2011/12/23,1254
2011/12/27,1262.3
2011/12/28,1248.64
2011/12/29,1249.75
2011/12/30,1257.46
2012/1/3,1258.86
2012/1/4,1268.1
2012/1/5,1265.26
2012/1/6,1273.34
2012/1/9,1274.55
2012/1/10,1280.77
2012/1/11,1285.41
2012/1/12,1285.77
2012/1/13,1277.58
2012/1/17,1290.22
2012/1/18,1290.99
2012/1/19,1308.07
2012/1/20,1309.17
2012/1/23,1309.89
2012/1/24,1306.06
2012/1/25,1307.65
2012/1/26,1313.6
2012/1/27,1311.72
2012/1/30,1300.49
2012/1/31,1306.69
2012/2/1,1312.45
2012/2/2,1321.57
2012/2/3,1326.21
2012/2/6,1337.52
2012/2/7,1335.92
2012/2/8,1341.95
2012/2/9,1344.63
2012/2/10,1337.35
2012/2/13,1343.06
2012/2/14,1340.83
2012/2/15,1340.8
2012/2/16,1341.22
2012/2/17,1357.24
2012/2/21,1358.11
2012/2/22,1355.53
2012/2/23,1352.28
2012/2/24,1363.46
2012/2/27,1354.92
2012/2/28,1365.97
2012/2/29,1363.81
2012/3/1,1365.9
2012/3/2,1366.42
2012/3/5,1359.13
2012/3/6,1340.03
2012/3/7,1343.39
2012/3/8,1352.65
2012/3/9,1365.97
2012/3/12,1366.69
2012/3/13,1371.92
2012/3/14,1389.97
2012/3/15,1392.78
2012/3/16,1401.47
2012/3/19,1402.43
2012/3/20,1397.68
2012/3/21,1400.64
2012/3/22,1388.73
2012/3/23,1386.87
2012/3/26,1397.11
2012/3/27,1411.95
2012/3/28,1397.2
2012/3/29,1391.56
2012/3/30,1401.42
2012/4/2,1404.46
2012/4/3,1404.62
2012/4/4,1394.09
2012/4/5,1392.92
2012/4/9,1378.24
2012/4/10,1357.38
2012/4/11,1358.98
2012/4/12,1368.77
2012/4/13,1369.85
2012/4/16,1365.38
2012/4/17,1369.57
2012/4/18,1383.29
2012/4/19,1370.3
2012/4/20,1376.96
2012/4/23,1358.79
2012/4/24,1366.82
2012/4/25,1372.11
2012/4/26,1387.28
2012/4/27,1397.31
2012/4/30,1394
2012/5/1,1395.73
2012/5/2,1393.92
2012/5/3,1388.71
2012/5/4,1367.96
2012/5/7,1363.94
2012/5/8,1347.75
2012/5/9,1343.13
2012/5/10,1354.58
2012/5/11,1348.89
2012/5/14,1336.61
2012/5/15,1328.41
2012/5/16,1324.79
2012/5/17,1304.86
2012/5/18,1291.98
2012/5/21,1295.73
2012/5/22,1310.04
2012/5/23,1296.53
2012/5/24,1310.5
2012/5/25,1314.23
2012/5/29,1318.9
2012/5/30,1310.76
2012/5/31,1298.9
2012/6/1,1277.25
2012/6/4,1266.74
2012/6/5,1274.16
2012/6/6,1285.61
2012/6/7,1312.68
2012/6/8,1307.77
2012/6/11,1307.73
