,IMF1
1,11.80302533
2,4.130560206
3,2.02380302
4,-5.62511465
5,-0.035519571
6,-0.864182423
7,6.637651778
8,-2.988324405
9,-2.820076999
10,3.512915788
11,1.211266904
12,-6.764954985
13,-1.304554642
14,6.615732676
15,3.940296056
16,-6.613760141
17,0.858525358
18,-0.212203583
19,-2.686259386
20,1.878445224
21,6.629410958
22,-3.030423659
23,-0.133212596
24,2.574524202
25,-2.663943258
26,2.451991648
27,-1.916902511
28,3.232607573
29,-4.155646911
30,-3.028764945
31,6.236728161
32,-0.748821536
33,-2.205342997
34,3.389692745
35,-4.86848029
36,-0.491638684
37,9.171359779
38,-7.748699693
39,0.421595091
40,-2.82287758
41,0.238125696
42,3.18341187
43,-0.34517895
44,-2.952391661
45,3.254926624
46,-5.092801038
47,3.994286773
48,3.964343716
49,-5.034673418
50,-1.724529793
51,3.49615289
52,0.00040082
53,4.390362792
54,-7.170816019
55,-1.014059566
56,5.732018639
57,-2.695191684
58,2.524069839
59,-2.060108065
60,6.030902406
61,-5.633348251
62,2.236137382
63,-3.169667962
64,1.874817942
65,-1.712657061
66,1.220755771
67,-1.510153033
68,7.176422737
69,-5.476056875
70,-4.962304967
71,6.256987429
72,-13.01374809
73,8.837445294
74,-1.967018603
75,-2.790743654
76,16.20877753
77,-12.06768659
78,-0.994259564
79,1.188460239
80,-8.758969958
81,11.33766406
82,5.835259886
83,-17.6582941
84,5.89009258
85,-0.212975908
86,4.035405716
87,10.47879777
88,-0.735510828
89,-18.47326861
90,3.506662423
91,18.75821816
92,-6.234451748
93,-9.622361846
94,6.27532526
95,-6.492280019
96,0.457628617
97,3.180210732
98,-13.29802404
99,13.06910536
100,5.952574865
101,-17.11100162
102,-0.532560607
103,-3.493449218
104,11.24166035
105,-5.495873481
106,-3.389073781
107,10.46217258
108,-0.167406223
109,-18.19749405
110,8.016003005
111,4.914655221
112,0.786703729
113,-8.10980367
114,4.474923399
115,2.573834598
116,-7.906175965
117,5.633266304
118,0.292910198
119,-5.292442721
120,7.274329467
121,-8.672362964
122,-1.98580655
123,13.69834309
124,0.354207513
125,-11.64523276
126,-5.297286963
127,16.32624712
128,3.01148504
129,-13.85812617
130,-1.842127737
131,5.464021069
132,-2.130901223
133,-5.182456129
134,13.51604053
135,-6.541945414
136,-3.395045564
137,2.210818138
138,1.606972812
139,-0.182694911
140,1.496070306
141,-9.392934294
142,7.64497175
143,-6.577777178
144,5.391160717
145,-2.463674785
146,-0.213491012
147,-6.251598616
148,8.943393642
149,-9.797266487
150,10.11957132
151,-0.81602503
152,-4.577393615
153,4.791676269
154,1.073728375
155,-6.66082521
156,1.717938883
157,0.882420683
158,0.328734995
159,-4.175242345
160,0.774305214
161,6.226684558
162,-5.535597968
163,-7.957888912
164,2.568863366
165,1.156473104
166,-1.241565678
167,3.422085293
168,-5.684740931
169,-1.382831204
170,3.756710347
171,-0.911006627
172,2.544063287
173,-3.412606152
174,1.180057109
175,-2.390310326
176,-0.107052302
177,3.552081422
178,4.171344194
179,-4.890460367
180,3.228853611
181,-4.455605165
182,3.858288388
183,0.401499632
184,0.783729014
185,-2.983578022
186,-2.546347092
187,2.935064306
188,3.141314892
189,-5.17605688
190,0.576151166
191,0.752696227
192,0.711323765
193,-3.086080601
194,2.954884166
195,-2.784239417
196,-0.159079002
197,2.354451791
198,-3.639427441
199,3.055146377
200,0.734745655
201,-0.876897341
202,-4.616851261
203,4.317742124
204,0.820781994
205,-1.583180458
206,-4.825918933
207,4.716279537
208,-5.127893296
209,4.529830897
210,0.167669316
211,-0.732603821
212,1.810135121
213,4.573010606
214,-5.163375731
215,-1.013950365
216,0.662642179
217,5.061416178
218,-1.585364964
219,-4.508551527
220,4.117849746
221,-0.963157855
