,IMF1,IMF2,IMF3,IMF4,IMF5,IMF6,IMF7,IMF8,IMF9,Res
1,-23.26648467,-7.873059551,-16.41941214,-6.000760385,51.69375216,-30.70884539,-44.49631663,67.18958368,502.8543813,2341.227162
2,12.36520472,-5.147149475,-18.76895677,-7.239554725,53.7289204,-30.96337627,-45.32241014,68.12537776,502.8729436,2341.159001
3,-10.87254844,0.795343493,-20.51924408,-7.088465877,55.43833912,-31.28487457,-46.0768745,69.03733275,502.878403,2341.092589
4,-2.954475062,9.704615589,-21.98918873,-5.54166348,56.80336533,-31.67807801,-46.75850524,69.92527523,502.8707276,2341.027927
5,4.932208804,12.31565907,-22.86129509,-2.7553794,57.80791069,-32.1466757,-47.36637373,70.78904551,502.8498858,2340.965014
6,9.829960534,-1.278857628,-22.17642641,0.990376075,58.43991674,-32.69341102,-47.89974693,71.62849146,502.815846,2340.903851
7,-5.245129013,-19.51357193,-18.9356118,5.325748186,58.68995332,-33.31984065,-48.358031,72.44346789,502.7685771,2340.844438
8,-21.06104587,-18.14760007,-12.68158985,9.799470233,58.5488895,-34.02600028,-48.74078356,73.23383803,502.708048,2340.786774
9,18.96368812,3.620034765,-4.251939666,13.9249194,58.00656661,-34.81013594,-49.04769082,73.99947108,502.6342279,2340.730859
10,1.544009586,20.05984092,4.508251308,17.22769045,57.05337487,-35.66866829,-49.27851803,74.74024188,502.5470865,2340.676691
11,3.788530326,15.63463002,12.15470954,19.29335188,55.68152293,-36.59654412,-49.4330929,75.45602924,502.446594,2340.624269
12,-0.300919428,-2.208553198,18.15203935,19.78804623,53.88523813,-37.58756275,-49.51131589,76.14671519,502.3327207,2340.573592
13,-9.606072957,-15.8794734,22.72472858,18.51873261,51.65780714,-38.63484939,-49.51315163,76.81218527,502.205437,2340.524657
14,4.50129057,-14.07932619,25.82828156,15.49010249,48.99473363,-39.73096136,-49.43862612,77.45232949,502.0647132,2340.477463
15,-3.13420139,-2.195753002,26.38170503,10.96620415,45.8981675,-40.8678767,-49.28781939,78.06704635,501.91052,2340.432007
16,8.285795499,8.870667292,22.5082633,5.470389592,42.37535512,-42.03697634,-49.06085855,78.65624709,501.7428277,2340.388289
17,-2.245974837,15.86656539,12.82623387,-0.313671772,38.43613021,-43.22913245,-48.75792388,79.21986016,501.561607,2340.346306
18,-20.70003465,19.22881162,-2.095981033,-5.65156978,34.09213717,-44.43482836,-48.37925945,79.7578394,501.3668284,2340.306057
19,36.82857247,11.38748577,-19.05215227,-9.838123597,29.35745351,-45.64421967,-47.92519125,80.27017386,501.1584626,2340.267539
20,-17.91963172,-13.51115837,-33.10623236,-12.2441156,24.25038815,-46.84723064,-47.39615027,80.75690029,500.9364804,2340.23075
21,-9.399066337,-31.7983999,-39.45956224,-12.39602265,18.79472976,-48.03363844,-46.79268939,81.21810694,500.7008528,2340.195689
22,-3.087837482,-23.24645263,-35.39349921,-10.12026735,13.01871909,-49.1930103,-46.11548583,81.65392789,500.4515511,2340.162355
23,1.492411979,1.775453844,-22.35553874,-5.649246593,6.963168151,-50.31475319,-45.36531901,82.06453219,500.1885472,2340.130744
24,13.97991924,18.64540898,-4.850141414,0.408967876,0.684347058,-51.38819636,-44.54308351,82.45010787,499.9118144,2340.100856
25,-7.175417429,18.01797033,11.70116061,7.241396464,-5.747649068,-52.40251767,-43.64981033,82.81085122,499.6213279,2340.072688
26,-8.312182352,10.75274103,23.29652839,13.91825063,-12.25221812,-53.34671118,-42.68667585,83.14696007,499.3170688,2340.046239
27,9.824307314,2.436006555,28.39092132,19.48656096,-18.74232387,-54.2096313,-41.65500455,83.45862771,498.9990299,2340.021506
28,5.299911774,-10.60930292,27.80735184,23.11465656,-25.12806009,-54.98002942,-40.55627203,83.74603966,498.6672165,2339.998488
29,-16.73781381,-16.12012139,23.43766153,24.23043814,-31.31967884,-55.64658753,-39.39209925,84.00937801,498.3216399,2339.977183
30,0.655668,-2.454484697,17.07936217,22.60832876,-37.2253745,-56.19796684,-38.16426043,84.24882356,497.9623144,2339.95759
31,8.622964622,14.83530715,10.00554147,18.32125321,-42.75110253,-56.62279125,-36.87469006,84.46455591,497.5892563,2339.939705
32,6.776638488,13.77248157,3.206451879,11.74698801,-47.80007361,-56.90978581,-35.52546562,84.65675331,497.2024836,2339.923528
33,7.13084844,-5.370048146,-2.415890951,3.50267095,-52.27764371,-57.04784447,-34.11875798,84.8255922,496.8020169,2339.909057
34,-30.62512819,-17.63344011,-6.183754718,-5.631292654,-56.08879966,-57.02618369,-32.65681671,84.97124551,496.3878812,2339.896289
35,15.46245019,-6.5295465,-8.345299721,-14.81205949,-59.1381215,-56.8346481,-31.14198645,85.09388225,495.9601061,2339.885223
36,1.834387446,10.90929797,-9.965581878,-23.19304345,-61.33241915,-56.46421129,-29.57668053,85.19366873,495.5187248,2339.875857
37,-0.427313315,14.84938039,-11.98653386,-30.00078967,-62.58681831,-55.9072987,-27.96335802,85.27076862,495.0637732,2339.86819
38,7.604979138,1.799035198,-14.14516057,-34.64116028,-62.82762638,-55.15839787,-26.30452068,85.32534297,494.5952902,2339.862218
39,-10.82027866,-14.4949873,-15.41680794,-36.72733976,-62.01161482,-54.21508979,-24.6026906,85.35755063,494.1133169,2339.857941
40,-5.52226566,-15.49817713,-14.92657484,-36.07411064,-60.1412082,-53.07805702,-22.86040857,85.36754869,493.6178963,2339.855357
41,12.89395619,-2.599231447,-12.78861442,-32.72517372,-57.26933759,-51.75040156,-21.08022676,85.35549293,493.1090729,2339.854463
42,-8.103459567,9.966547754,-10.2446926,-26.94856258,-53.49204614,-50.23678112,-19.26469452,85.32153814,492.5868918,2339.855259
43,2.092758481,14.22559622,-8.450477072,-19.23219954,-48.93148539,-48.54281589,-17.41635551,85.26583866,492.0513989,2339.857741
44,4.340369429,7.595195849,-7.271264349,-10.23302525,-43.72193941,-46.67468271,-15.53775082,85.18854854,491.5026401,2339.861909
45,-2.620586938,-6.815594898,-5.246393081,-0.730453074,-38.00484994,-44.63894815,-13.63141667,85.08982166,490.9406616,2339.867759
46,-0.974231592,-16.895265,-0.65870555,8.446391298,-31.92649649,-42.4424253,-11.6998809,84.96981197,490.3655097,2339.875292
47,-16.0075623,-11.22186786,7.123878829,16.49928756,-25.63639757,-40.09208006,-9.745666739,84.82867334,489.777231,2339.884504
48,13.12695963,4.510653897,16.77471681,22.7619286,-19.28575564,-37.59503063,-7.771297712,84.66655957,489.175872,2339.895393
49,10.9184542,12.0034895,25.61073459,26.74625967,-13.02420061,-34.95850457,-5.779295502,84.48362442,488.5614792,2339.907959
