,VIMF1,VIMF2,VIMF3
1,2.035760721,-4.190092191,-1.853163099
2,-1.403896569,4.291316061,3.081692777
3,-3.410269613,3.191799978,-0.895155531
4,0.223031506,-3.92013633,-1.590807996
5,4.137193814,-2.540243562,1.333082753
6,1.757057754,3.610391485,0.772605003
7,-3.751336593,2.092766555,-1.22421909
8,-3.555202953,-3.018721281,-0.633406038
9,2.308631102,-1.896623296,1.720211107
10,4.135711988,1.759080705,-0.416023647
11,-0.051418269,2.550160991,-1.122281737
12,-3.643964579,-0.6255029,0.68784786
13,-1.629890165,-3.19099741,1.077710807
14,2.577798363,-0.312272222,-1.36371456
15,2.359069862,3.586079305,-0.94709271
16,-1.282508675,1.386206135,3.123593368
17,-2.823163608,-4.44024914,-2.051788117
18,0.218913399,-2.070340943,-1.672150723
19,3.199742775,5.534014225,4.309167856
20,0.390927496,2.00111245,-3.103225086
21,-2.66251222,-5.526662703,-0.510928208
22,-1.271142939,-2.617897552,2.915386128
23,1.794931358,5.336372181,-2.719839889
24,1.588752824,3.228614432,0.763150211
25,-1.256483413,-5.31106032,1.280102158
26,-1.322024129,-3.382340331,-1.976439764
27,1.249712361,5.203472853,1.259984678
28,1.284557383,3.404543442,0.008760334
29,-1.457005248,-4.92189208,-1.023196935
30,-1.794437767,-3.420850667,1.474133705
31,1.01705433,4.126332544,-1.572025238
32,2.582236813,3.692706153,0.872192732
33,0.18550914,-3.107481486,1.336484479
34,-2.747142302,-3.878070281,-3.409339818
35,-1.270462041,2.389682152,2.724259747
36,1.539068166,3.117675286,0.493246475
37,1.958884846,-1.179256314,-3.368614213
38,-0.113635342,-2.432516351,3.228064179
39,-1.635812596,0.015961402,0.046440159
40,-0.510804833,2.194201241,-3.194777861
41,0.567625455,0.605763491,2.68015447
42,-0.031880977,-2.156224332,0.702652812
43,0.250400585,-0.763363514,-2.715471816
44,1.118572129,1.824103239,0.999208205
45,0.27404522,1.181131866,2.194335383
46,-1.932351783,-1.47217719,-2.599637747
47,-2.011639128,-1.876219536,-0.849240927
48,1.695943624,1.34410271,4.131952398
49,3.485915041,2.013570504,-3.126323891
50,-0.06748819,-0.911262097,-1.56653099
51,-3.72982102,-1.673759223,5.497327224
52,-2.243092173,0.050658371,-4.440755425
53,2.774102914,1.524206817,-1.303791766
54,3.872023272,0.507226652,6.207155306
55,-1.005306935,-1.499832824,-5.141341519
56,-3.95813963,-0.347626015,-0.750656936
57,-1.360551665,0.722176494,5.25342213
58,2.915476603,0.42758004,-4.11213483
59,2.903290083,-0.037646312,-0.934544243
60,-1.130157091,-0.589873904,4.426318266
61,-3.05740746,-0.346114488,-2.888560547
62,-0.789651554,0.503701361,-1.656966026
63,2.301842083,0.958715539,4.1870468
64,1.69760994,-0.83565301,-2.376646081
65,-0.90494575,-1.264112725,-1.381971312
66,-1.673641132,1.140864496,3.244030325
67,0.002023082,1.774457592,-1.630667147
68,1.160123728,-1.444342817,-1.275994804
69,0.352955536,-2.28836427,2.344026839
70,-0.659838169,1.683919182,-0.971190255
71,-0.516410736,2.553500047,-1.123218657
72,0.321701677,-1.784030548,1.887581694
73,0.531015715,-2.747622195,-0.751809378
