Date,High
2010/12/1,2834.2
2010/12/2,2870.81
2010/12/3,2853.4
2010/12/6,2871.41
2010/12/7,2884.53
2010/12/8,2880.56
2010/12/9,2854.7
2010/12/10,2850.42
2010/12/13,2923.77
2010/12/14,2933.41
2010/12/15,2939.05
2010/12/16,2921.27
2010/12/17,2898.81
2010/12/20,2911.56
2010/12/21,2908.17
2010/12/22,2917.2
2010/12/23,2893.71
2010/12/24,2853.49
2010/12/27,2876.81
2010/12/28,2775.15
2010/12/29,2753.03
2010/12/30,2768.13
2010/12/31,2808.93
2011/1/4,2855.4
2011/1/5,2850.49
2011/1/6,2853.88
2011/1/7,2868.01
2011/1/10,2847.36
2011/1/11,2810.76
2011/1/12,2828.47
2011/1/13,2837.53
2011/1/14,2817.05
2011/1/17,2780.94
2011/1/18,2715.41
2011/1/19,2759.6
2011/1/20,2752.8
2011/1/21,2746.18
2011/1/24,2736.11
2011/1/25,2701.04
2011/1/26,2710.74
2011/1/27,2753
2011/1/28,2759.44
2011/1/31,2790.92
2011/2/1,2805.05
2011/2/9,2804.21
2011/2/10,2819.06
2011/2/11,2835.41
2011/2/14,2906.26
2011/2/15,2934.47
2011/2/16,2924.19
2011/2/17,2939.28
2011/2/18,2924.23
2011/2/21,2932.82
2011/2/22,2944.41
2011/2/23,2868.48
2011/2/24,2881.54
2011/2/25,2890.32
2011/2/28,2906.17
2011/3/1,2931.58
2011/3/2,2924.96
2011/3/3,2937.56
2011/3/4,2944.46
2011/3/7,3000.43
2011/3/8,3001.62
2011/3/9,3012.04
2011/3/10,2995.77
2011/3/11,2966.98
2011/3/14,2939.65
2011/3/15,2927.98
2011/3/16,2934.02
2011/3/17,2935.62
2011/3/18,2930.61
2011/3/21,2927.07
2011/3/22,2923.39
2011/3/23,2950.42
2011/3/24,2958.66
2011/3/25,2985.08
2011/3/28,3005.78
2011/3/29,2994.17
2011/3/30,2968.18
2011/3/31,2961.63
2011/4/1,2967.85
2011/4/6,3005.24
2011/4/7,3012.29
2011/4/8,3031.1
2011/4/11,3059.57
2011/4/12,3039.12
2011/4/13,3050.4
2011/4/14,3058.24
2011/4/15,3062.53
2011/4/18,3067.46
2011/4/19,3038.81
2011/4/20,3019.12
2011/4/21,3035.47
2011/4/22,3032.97
2011/4/25,3003.61
2011/4/26,2970.28
2011/4/27,2961.13
2011/4/28,2953.19
2011/4/29,2913.56
2011/5/3,2933.46
2011/5/4,2916.97
2011/5/5,2880.12
2011/5/6,2881.71
2011/5/9,2885.18
2011/5/10,2891.03
2011/5/11,2897.14
2011/5/12,2876.45
2011/5/13,2871.99
2011/5/16,2877.09
2011/5/17,2869.23
2011/5/18,2877.43
2011/5/19,2884.14
2011/5/20,2866.76
2011/5/23,2853.29
2011/5/24,2771.75
2011/5/25,2771.18
2011/5/26,2764.89
2011/5/27,2746.84
2011/5/30,2728.06
2011/5/31,2744.93
2011/6/1,2744.56
2011/6/2,2727.99
2011/6/3,2732.43
2011/6/7,2745.77
2011/6/8,2754.12
2011/6/9,2747.33
2011/6/10,2707.74
2011/6/13,2703.42
2011/6/14,2735.55
2011/6/15,2730.48
2011/6/16,2691.94
2011/6/17,2675.03
2011/6/20,2637.88
2011/6/21,2648.02
2011/6/22,2657.73
2011/6/23,2693.42
2011/6/24,2759.71
2011/6/27,2769.04
2011/6/28,2763.28
2011/6/29,2759.23
2011/6/30,2774.37
2011/7/1,2778.67
2011/7/4,2813.27
2011/7/5,2818.14
2011/7/6,2811.82
2011/7/7,2825.12
2011/7/8,2807.38
2011/7/11,2807.32
2011/7/12,2783.72
2011/7/13,2797.27
2011/7/14,2811.7
2011/7/15,2821.34
2011/7/18,2826.96
2011/7/19,2809.31
2011/7/20,2817.28
2011/7/21,2799.85
2011/7/22,2782.17
2011/7/25,2759.63
2011/7/26,2704.94
2011/7/27,2726.8
2011/7/28,2712.09
2011/7/29,2721.53
2011/8/1,2712.89
2011/8/2,2689.97
2011/8/3,2688.06
2011/8/4,2698.82
2011/8/5,2644.58
2011/8/8,2614.19
2011/8/9,2537.41
2011/8/10,2579.16
2011/8/11,2582.16
2011/8/12,2605.45
2011/8/15,2627.1
2011/8/16,2636.36
2011/8/17,2617.16
2011/8/18,2603.48
2011/8/19,2538.27
2011/8/22,2553.41
2011/8/23,2554.18
2011/8/24,2569.28
2011/8/25,2616.3
2011/8/26,2616.64
2011/8/29,2595.47
2011/8/30,2615.14
2011/8/31,2574.42
2011/9/1,2584.8
2011/9/2,2557.31
2011/9/5,2510.1
2011/9/6,2482.24
2011/9/7,2516.75
2011/9/8,2524.38
2011/9/9,2528.42
2011/9/13,2477.08
2011/9/14,2485.93
2011/9/15,2496.57
2011/9/16,2499.48
2011/9/19,2469.6
2011/9/20,2460.03
2011/9/21,2517.67
2011/9/22,2499.98
2011/9/23,2440.75
2011/9/26,2441.73
2011/9/27,2423.91
2011/9/28,2430.27
2011/9/29,2387.54
2011/9/30,2377.54
2011/10/10,2368.15
2011/10/11,2412.38
2011/10/12,2421.69
2011/10/13,2439.64
2011/10/14,2437.59
2011/10/17,2452.99
2011/10/18,2425.65
2011/10/19,2401.69
2011/10/20,2368.64
2011/10/21,2340.31
2011/10/24,2371.09
2011/10/25,2414.05
2011/10/26,2448.98
2011/10/27,2449.7
2011/10/28,2483.76
2011/10/31,2478.31
2011/11/1,2491.35
2011/11/2,2505.12
2011/11/3,2535.24
2011/11/4,2536.78
2011/11/7,2536.18
2011/11/8,2524.82
2011/11/9,2527.7
2011/11/10,2507.45
2011/11/11,2496.53
2011/11/14,2529.63
2011/11/15,2534.06
2011/11/16,2529.46
2011/11/17,2482.53
2011/11/18,2448.51
2011/11/21,2419.24
2011/11/22,2414.85
2011/11/23,2418.56
2011/11/24,2409.72
2011/11/25,2403.94
2011/11/28,2396.83
2011/11/29,2413.33
2011/11/30,2407.33
2011/12/1,2423.56
2011/12/2,2378.3
2011/12/5,2363.13
2011/12/6,2331.89
2011/12/7,2339.85
2011/12/8,2346.65
2011/12/9,2331.26
2011/12/12,2315.81
2011/12/13,2285.81
2011/12/14,2256.74
2011/12/15,2216.91
2011/12/16,2225.54
2011/12/19,2221.45
2011/12/20,2239.86
2011/12/21,2237.47
2011/12/22,2201.59
2011/12/23,2219.79
2011/12/26,2213.45
2011/12/27,2196.97
2011/12/28,2170.67
2011/12/29,2181.95
2011/12/30,2200.99
2012/1/4,2217.52
2012/1/5,2183.4
2012/1/6,2164.32
2012/1/9,2226.22
2012/1/10,2288.63
2012/1/11,2290.64
2012/1/12,2295.22
2012/1/13,2281.53
2012/1/16,2241.26
2012/1/17,2298.38
2012/1/18,2311.58
2012/1/19,2305.71
2012/1/20,2322.89
2012/1/30,2324.49
2012/1/31,2296.38
2012/2/1,2305.86
2012/2/2,2312.56
2012/2/3,2336.27
2012/2/6,2341.57
2012/2/7,2319.71
2012/2/8,2350.96
2012/2/9,2363.61
2012/2/10,2368.98
2012/2/13,2365.34
