,IMF1
1,-23.26648467
2,12.36520472
3,-10.87254844
4,-2.954475062
5,4.932208804
6,9.829960534
7,-5.245129013
8,-21.06104587
9,18.96368812
10,1.544009586
11,3.788530326
12,-0.300919428
13,-9.606072957
14,4.50129057
15,-3.13420139
16,8.285795499
17,-2.245974837
18,-20.70003465
19,36.82857247
20,-17.91963172
21,-9.399066337
22,-3.087837482
23,1.492411979
24,13.97991924
25,-7.175417429
26,-8.312182352
27,9.824307314
28,5.299911774
29,-16.73781381
30,0.655668
31,8.622964622
32,6.776638488
33,7.13084844
34,-30.62512819
35,15.46245019
36,1.834387446
37,-0.427313315
38,7.604979138
39,-10.82027866
40,-5.52226566
41,12.89395619
42,-8.103459567
43,2.092758481
44,4.340369429
45,-2.620586938
46,-0.974231592
47,-16.0075623
48,13.12695963
49,10.9184542
50,-10.6366532
51,3.54214073
52,-11.58918328
53,-1.438152002
54,25.64756146
55,-24.31192483
56,1.392153145
57,1.218128409
58,-2.179901641
59,8.530919601
60,-4.350093599
61,0.782375379
62,-11.92416602
63,15.87149314
64,-4.154871391
65,2.414940107
66,2.040951327
67,0.508321118
68,-3.159204767
69,-4.055390621
70,2.390442012
71,2.276997337
72,-0.771447781
73,-0.198222893
74,-5.678664166
75,7.853215197
76,-6.211316169
77,-3.200395096
78,6.482298781
79,3.647658434
80,-4.039450727
81,-1.838893111
82,-5.931517411
83,9.16951079
84,-5.179673078
85,-3.87129605
86,13.91370352
87,-8.531803844
88,0.482412269
89,0.622992801
90,-1.004584792
91,9.776979023
92,-3.353894488
93,-12.37093962
94,5.274627556
95,9.099766657
96,-0.112412282
97,-8.612506119
98,1.967396697
99,10.27013832
100,-17.02298977
101,10.58946575
102,7.738577356
103,-10.96346941
104,-0.418414747
105,0.180583119
106,0.314282171
107,6.847923187
108,-5.833002726
109,-2.075628681
110,6.141085467
111,-4.012869329
112,-2.276388327
113,1.639770835
114,-1.288674837
115,19.53660349
116,-21.92369289
117,3.270228021
118,9.592904824
119,0.95008974
120,-11.70494953
121,6.084027955
122,7.511921601
123,-5.366808347
124,-2.959628174
125,0.976219064
126,5.314326819
127,10.33708612
128,-11.83742882
129,-12.3997858
130,11.62006567
131,8.348936634
132,-8.417613851
133,5.101827299
134,-8.958012288
135,6.159572359
136,-2.956091999
137,-8.130659957
138,14.48081528
139,1.389325526
140,-4.37926686
141,-4.381410053
142,4.462007411
143,-7.823054078
144,7.923780842
145,1.260893019
146,-8.192890369
147,7.343363729
148,-3.155809367
149,6.769320592
150,-10.00782834
151,0.043399111
152,2.307575735
153,0.911068784
154,3.850702034
155,-9.960745838
156,4.253733799
157,-1.726088828
158,2.057590106
159,9.644642571
160,-18.85017911
161,12.20957461
162,-4.550641481
163,4.399689894
164,3.185394577
165,-10.03220265
166,-6.56878175
167,15.50242705
168,-6.079158858
169,11.22666701
170,-30.1271056
171,14.8400092
172,-0.622529141
173,-1.659165983
174,-1.191401075
175,1.199509141
176,-2.901636113
177,15.54540119
178,-17.87495981
179,8.661363999
180,-0.96768564
181,-9.878404486
182,12.93135198
183,3.65987338
184,-13.19181663
185,14.60935925
186,-16.16479997
187,8.482028628
188,8.868931287
189,-4.721918203
190,-17.84379533
191,7.314856849
192,3.952227035
193,14.44265458
194,-19.14055709
195,-1.633717844
196,7.657220532
197,13.55536042
198,-9.152359842
199,-23.12506628
200,23.44038419
201,12.89284875
202,-20.83752047
203,2.219092066
204,-3.797619921
205,15.04068086
206,-6.662474273
207,0.146544355
208,-12.17550892
209,11.14749911
210,-1.5678225
211,1.841401619
212,-7.524956607
213,9.24174678
214,-2.454547817
215,2.981757517
216,2.282738037
217,-12.20961062
218,0.375662071
219,5.811158067
220,7.181238476
221,-12.85351288
222,9.559008716
223,-2.987639455
224,-0.204801195
225,-3.581886363
226,8.450848224
227,-0.205055406
228,-0.705702579
229,-5.573404449
230,7.821910601
231,-1.59759461
232,-13.204201
233,5.579068863
234,0.971726007
235,8.978403583
236,-4.625500362
237,-1.168183151
238,-4.67497567
239,0.465259568
240,5.646987888
241,0.178776222
242,-0.395788419
243,-6.342709954
244,4.228783205
245,-6.951586341
246,15.14705185
247,-8.566790274
248,3.410169443
249,-9.596933735
250,1.564607915
251,6.117429092
252,-2.354100743
253,1.717882574
254,0.725661732
255,3.820496242
256,-11.80775357
257,4.167369859
258,-5.419627746
259,7.713668271
260,10.12500325
261,-16.67759814
262,5.430638593
263,5.414034722
264,4.14832162
265,-10.45809702
266,-4.682960043
267,1.528350489
268,18.78456747
269,-0.768664892
270,-22.55088321
271,0.944756731
272,15.19343477
273,-7.250265686
274,3.158775794
275,8.423152906
276,-25.97291105
277,15.06104743
278,8.055643045
279,-9.999674542
280,3.066512398
281,9.183099635
282,-10.5963255
283,-0.446057901
284,-4.238631604
285,7.009923651
286,8.284809254
287,-15.51656546
288,3.551859411
289,1.816414414
290,1.74363103
291,0.768842047
292,-9.901922489
293,7.674332038
294,0.784564044
295,-5.199318476
296,6.389451682
297,-5.224201241
298,4.15873595
299,-4.732485539
300,-6.932138613
301,14.37629179
302,-4.098156023
303,0.240388889
304,-12.59197011
305,3.327863432
306,11.42529688
307,-0.841198082
308,-11.45092872
309,4.108455861
310,7.003891713
311,-8.589317507
312,-3.106814247
313,24.57797382
314,-22.29795151
315,-2.212345193
316,5.993387748
317,1.985183237
318,-0.059231441
319,2.565083553
320,-2.081185443
321,-9.320656526
322,8.022601719
323,14.01954405
324,-11.99399017
325,-13.04909326
326,12.91536976
327,5.723964567
328,-1.706606023
329,-3.310768149
330,-5.80787422
331,3.930823094
332,7.599739817
333,-1.643328729
334,-6.036295147
335,5.012251677
336,-4.688966804
337,2.655610764
338,-1.657766911
339,0.818251566
340,-0.498507588
341,3.859872882
342,-10.61053666
343,11.69229155
344,-5.040641248
345,0.436407699
346,-1.632005294
347,4.799437313
348,-1.980898276
349,-4.124713604
350,1.564554649
351,9.745261085
352,-9.046480451
353,-4.633790085
354,10.14519791
355,0.54246207
356,-7.232434784
357,2.149486531
358,3.773657717
359,4.177560318
360,-7.505355194
361,-6.887466349
362,10.46912248
363,-0.670785883
364,-7.00610495
365,12.91269388
366,-2.843573646
367,-7.501997254
368,0.142961536
369,8.600602967
370,-7.065107492
371,3.880023099
372,-7.700023778
373,8.863668859
374,-0.850180794
375,-4.497575934
376,4.646398577
377,-2.700904106
378,0.029407471
379,4.610646119
380,-4.138889241
381,-6.662813424
382,7.605474231
383,-1.574513042
384,-3.80826195
385,-1.821965445
386,4.783581191
387,3.048750668
388,-10.79551732
389,6.02115337
390,9.741273636
391,-11.06845207
392,-7.394140302
393,6.125285934
394,5.33224299
395,3.888905628
396,-9.412399674
397,-7.218597323
398,13.08148135
399,5.452807466
400,-12.7772651
401,1.716294254
402,-0.112127558
403,0.830526939
404,-1.643583025
405,5.769101574
406,-7.3096501
407,7.057141982
408,-2.535951297
409,-6.036795948
410,6.714276294
411,-2.049866954
412,-0.631332242
413,0.047860666
414,2.732755044
415,1.239184766
416,-4.202805092
417,2.93814755
418,-2.907468382
419,3.146059502
420,-4.980073664
421,4.6409357
422,-0.804227643
423,0.48035717
424,2.831435063
425,-7.345630125
426,3.735463268
427,3.30900574
428,-5.203202096
429,-5.13553691
430,4.35674361
431,8.598685956
432,-6.1886083
433,-25.16781446
434,28.5142768
435,1.677147386
436,-11.67924839
437,2.018351294
438,-4.344575226
439,7.084192454
440,8.699329513
441,-13.89274937
442,1.332957784
443,4.778174522
444,-3.903750398
445,2.193011511
446,2.548980174
447,-11.59274636
448,3.995708287
449,4.07571536
450,-5.94619356
451,4.350139316
452,-0.613102661
453,-5.357761873
454,8.908186135
455,-5.244192962
456,0.306228882
457,-5.226434167
458,8.120173744
459,-0.446482313
460,-0.74267192
461,-0.224101255
462,-7.343680488
463,9.019295138
464,3.218560035
465,-9.512682235
466,5.347958319
467,-10.49955096
468,7.85504156
469,1.412247961
470,0.52598536
471,-3.723080222
472,5.422102425
473,0.110400131
474,-5.375151902
475,0.960023424
476,5.236796151
477,-5.343594249
478,6.538311129
479,-2.870425856
480,-3.637591784
481,1.476612831
482,4.254321455
483,-8.070753373
484,2.121363703
485,0.968831405
486,4.676225692
487,-6.194999235
488,0.013183094
489,4.51670778
490,3.41984153
491,-19.62124777
492,17.75194706
493,-9.021782001
494,-0.4390953
495,6.583412102
496,4.281329846
497,-0.314444058
498,-20.92926741
499,16.55713523
500,2.131771958
501,2.831743815
502,-4.727400479
503,-3.165670377
504,10.22856455
505,-19.32035356
506,13.72772547
507,-0.472888492
508,3.657251291
509,-10.32523649
510,1.68619157
511,7.770332367
512,-1.667355854
513,-2.173104318
514,-3.247634764
515,6.704175353
516,-9.173669748
517,1.858954796
518,6.573668794
519,3.171094779
520,-12.39293474
521,4.112583861
522,1.476369415
523,1.229514605
524,-11.94306941
525,27.99589597
526,-24.44447848
527,4.503790757
528,2.856989401
529,3.629566349
530,-7.251033626
531,1.773933103
532,5.639065735
533,-2.982254456
534,1.709980857
535,-4.698608354
536,2.37650918
537,-1.125772878
538,3.20076968
539,-0.539860011
540,-3.575002734
541,8.681409008
542,-13.84134695
543,5.467477105
544,7.112035342
545,-18.27012813
546,11.57720692
547,15.07545048
548,-10.05900788
549,-10.23573457
550,8.005756303
551,6.07236979
552,-5.695094629
553,-7.470324759
554,19.48032456
555,-10.54387662
556,-12.76964681
557,24.90040823
558,-4.805976702
559,-21.49600207
560,14.94994257
561,4.187585846
562,-7.43934515
563,5.158273813
564,-8.513804948
565,16.6094644
566,-4.535214974
