,IMF1,IMF2,IMF3,IMF4,IMF5,IMF6,IMF7,IMF8,IMF9,Res
1,-26.04469989,-3.734996425,-11.46973857,-3.137734441,54.78553898,-27.30836241,-51.50459101,73.43325491,482.0137783,2308.777551
2,13.46906172,3.868459219,-13.69055247,-4.245713688,56.86927852,-27.57504841,-52.31463413,74.32325914,482.0592914,2308.706599
3,-6.769513908,7.404947189,-17.34195722,-4.110443495,58.58861515,-27.90552694,-53.04648627,75.19075185,482.092305,2308.637309
4,3.026467697,8.944308193,-22.18601035,-2.725515414,59.92617713,-28.30464914,-53.6988186,76.03557091,482.1127891,2308.56968
5,-18.6353704,9.211736631,-26.54300098,-0.229284101,60.87088854,-28.77629752,-54.27066826,76.85756803,482.1207134,2308.503715
6,22.77427764,0.452856093,-27.94499577,3.11379655,61.41679585,-29.32348293,-54.76130976,77.65660312,482.1160478,2308.439411
7,0.13898479,-19.47050024,-24.44617441,6.937197828,61.5605969,-29.9480022,-55.17018032,78.43254452,482.0987622,2308.376771
8,-20.27265141,-27.28546313,-15.43978407,10.79587382,61.29906754,-30.65008292,-55.49684763,79.18526782,482.0688266,2308.315793
9,-1.245529376,-6.340351092,-2.625744041,14.21559153,60.62783346,-31.42816048,-55.74098461,79.91465477,482.0262112,2308.256479
10,20.46099446,22.6906096,10.39337786,16.72319533,59.54270413,-32.27878582,-55.90239898,80.62059058,481.9708863,2308.198827
11,-2.540228858,29.74465798,20.33155661,17.9040811,58.03932657,-33.19701637,-55.98099942,81.30296326,481.9028225,2308.142837
12,-1.311119191,12.30584598,25.56992215,17.46333092,56.1134792,-34.17685962,-55.97676278,81.96166456,481.821991,2308.088508
13,20.47123009,-16.49990687,26.74271635,15.26906696,53.75753626,-35.21169182,-55.88974429,82.59659134,481.7283629,2308.035839
14,-32.17714996,-31.80650015,25.36702786,11.41105078,50.96565399,-36.29439366,-55.72007659,83.20764891,481.6219099,2307.984829
15,5.609309587,-15.31010674,21.98808231,6.256585086,47.73863724,-37.41737845,-55.46796458,83.79475613,481.5026039,2307.935476
16,12.96447374,14.02792944,15.63602777,0.431239257,44.08035275,-38.57237403,-55.13369385,84.35785093,481.3704167,2307.887777
17,1.982545252,28.50960988,5.168250913,-5.311564465,39.99537411,-39.75053599,-54.71763343,84.896901,481.2253202,2307.841733
18,-2.77137994,20.92054474,-9.060266093,-10.19194199,35.48933987,-40.94259986,-54.22024125,85.41191865,481.0672864,2307.79734
19,1.003228666,1.855236341,-24.16152162,-13.50062866,30.57090431,-42.13898501,-53.64208706,85.90296943,480.8962871,2307.754596
20,-5.921021254,-17.22041722,-35.53141611,-14.65433453,25.25489422,-43.32981993,-52.98384854,86.37016701,480.7122945,2307.713502
21,2.077932331,-26.22300836,-38.89086393,-13.30128896,19.56564602,-44.50510423,-52.24630607,86.81365864,480.5152807,2307.674054
22,-4.927758858,-20.28426299,-32.40774481,-9.465501236,13.53520458,-45.65466434,-51.43034939,87.23360804,480.3052183,2307.636251
23,-4.212738111,-1.091308001,-18.21256954,-3.568117884,7.207553996,-46.76818884,-50.53699027,87.63018785,480.0820799,2307.600091
24,9.837100369,18.9886137,-1.019997926,3.650114508,0.641743132,-47.83518361,-49.56737786,88.00357579,479.8458394,2307.565573
25,2.215754388,24.75439124,14.02372845,11.28030394,-6.089536444,-48.84493769,-48.52282057,88.35395107,479.5964716,2307.532694
26,-3.715135642,13.18422047,23.74099763,18.31849829,-12.90410189,-49.78659508,-47.40478439,88.68149274,479.3339543,2307.501454
27,3.912054035,-6.57712799,27.83434994,23.76401534,-19.7156661,-50.64922014,-46.2149017,88.98637609,479.058271,2307.47185
28,1.792306196,-22.4362315,28.03962406,26.7951258,-26.43617712,-51.42175129,-44.9549598,89.26876626,478.7694172,2307.44388
29,-10.47316816,-18.91524207,26.09993538,26.91097732,-32.97630618,-52.09307206,-43.62688661,89.52881971,478.4673989,2307.417544
30,-4.181669056,4.644006516,22.48074676,24.00142103,-39.24150275,-52.65200321,-42.23275426,89.76668879,478.1522276,2307.392839
31,15.93497563,23.75483897,16.69656883,18.29980777,-45.13028323,-53.08735001,-40.77476256,89.98252429,477.8239173,2307.369763
32,14.14898341,15.56265647,8.536693549,10.3643991,-50.53683893,-53.38795648,-39.25521285,90.17647645,477.4824841,2307.348315
33,-21.68172488,-7.95813866,-0.7806977,0.968537066,-55.35380884,-53.54280523,-37.67649528,90.34869451,477.1279455,2307.328493
34,-8.055517914,-15.79846581,-9.300427142,-8.991285508,-59.47204115,-53.54111455,-36.04109153,90.49932538,476.760322,2307.310296
35,17.52859828,-6.348552908,-15.59704798,-18.56802866,-62.78259998,-53.37268396,-34.35155656,90.62851201,476.3796382,2307.293722
36,-3.35755361,2.372772216,-19.21453182,-26.85403316,-65.17880393,-53.02845034,-32.61048337,90.73639329,475.9859228,2307.278768
37,-9.738628996,6.816706998,-20.48353135,-33.08712221,-66.56377775,-52.50089459,-30.8204984,90.82310515,475.5792076,2307.265434
38,15.38171228,6.126772778,-19.78675053,-36.7489332,-66.85605717,-51.78452846,-28.98424032,90.88878077,475.1595271,2307.253717
39,-9.350838304,-3.255800547,-17.2682247,-37.58511166,-66.01294128,-50.87680435,-27.10436439,90.93355086,474.7269186,2307.243616
40,4.969261368,-12.99449486,-13.08541416,-35.58106336,-64.05042715,-49.77842479,-25.1835314,90.95754399,474.2814215,2307.235129
41,-12.24817274,-10.81798466,-8.021552114,-30.95950672,-61.03786418,-48.49273062,-23.22440721,90.96088707,473.8230768,2307.228254
42,10.15524847,4.674457751,-3.569384651,-24.15224778,-57.08234355,-47.02469681,-21.22965659,90.94370586,473.3519267,2307.222991
43,-7.000174334,18.36573403,-1.163517577,-15.76017317,-52.31313998,-45.38025935,-19.20194498,90.90612539,472.8680141,2307.219336
44,14.09729174,15.88983344,-1.056776333,-6.48760978,-46.86984654,-43.56589019,-17.14394342,90.84827026,472.3713825,2307.217288
45,-5.359275759,-3.376408295,-1.586047016,2.886387651,-40.89709204,-41.58843441,-15.05831671,90.77026482,471.8620754,2307.216846
46,-13.8315809,-19.74498988,-0.101182237,11.57362011,-34.54358316,-39.45493783,-12.94772424,90.67223331,471.3401366,2307.218008
47,8.676031091,-17.82462711,5.270704221,18.85528442,-27.96065149,-37.17260204,-10.81482153,90.55430018,470.80561,2307.220772
48,-9.17162246,-3.633312452,14.0091414,24.17720256,-21.30065087,-34.74875721,-8.662267941,90.41659059,470.2585397,2307.225137
49,18.91254431,9.502346721,23.24401554,27.19030516,-14.71500281,-32.19078642,-6.492721915,90.2592299,469.6989696,2307.2311
50,-12.61630295,14.08420347,29.028618,27.77083362,-8.350390977,-29.506065,-4.308843607,90.08234343,469.126944,2307.23866
51,3.622392784,12.68425111,28.15086316,26.05594799,-2.344514102,-26.70203073,-2.113289176,89.88605661,468.5425069,2307.247815
52,-3.815532086,7.360249693,19.8815204,22.47387801,3.180042819,-23.7862073,0.091286573,89.67049496,467.9457025,2307.258564
53,7.630512733,-1.07217985,6.252674607,17.68325235,8.116482591,-20.76623238,2.302225731,89.43578405,467.3365748,2307.270905
54,-4.17034464,-10.2516546,-8.836016039,12.45591083,12.37311182,-17.6499321,4.516870505,89.18204969,466.7151682,2307.284836
55,-4.595030775,-12.73191495,-21.49742295,7.572608801,15.87350224,-14.4456068,6.73256382,88.90941812,466.0815267,2307.300356
56,10.14276508,-7.617639145,-29.41603803,3.737591504,18.55798932,-11.16248962,8.946648719,88.61801569,465.4356946,2307.317462
57,-5.514697855,0.414312475,-31.8873708,1.480389845,20.39017565,-7.811115268,11.15646825,88.30796874,464.7777159,2307.336153
58,-8.514485476,8.979021609,-29.41297,1.001822493,21.36746131,-4.403681412,13.35936545,87.97940362,464.1076348,2307.356428
