,VIMF1,VIMF2,VIMF3
1,0.577147039,-6.037595547,1.806223067
2,0.047385719,5.928044868,-4.193496777
3,-1.519407196,5.210454725,2.459244899
4,-1.206546418,-5.292004818,2.764015729
5,1.214077254,-4.68238149,-6.361099093
6,2.68826721,4.893477758,3.463416633
7,0.229895932,3.903349195,4.096767418
8,-2.90694161,-4.093991315,-7.991924136
9,-2.341447344,-3.340651564,2.7191643
10,1.279318819,2.998982494,6.349438551
11,3.434533628,2.798660549,-8.614853398
12,1.690436824,-1.47991601,1.208571266
13,-2.28127402,-2.245020509,7.786504472
14,-3.960553236,-0.023934278,-8.220032257
15,-0.106032978,2.252878425,-0.077804844
16,3.92948369,0.681671495,7.320623376
17,2.527435465,-2.217141532,-6.07956099
18,-2.263138112,-1.159281607,-1.044981921
19,-3.563426711,2.44708608,6.205731805
20,0.306887459,1.783065922,-4.522835531
21,3.305504413,-2.882766833,-1.587552915
22,1.101194349,-2.553614369,5.369979839
23,-2.409858425,3.413877345,-3.187736054
24,-2.224245304,2.960621626,-2.36270113
25,0.943853821,-4.029717978,5.042737386
26,2.941861223,-2.862380628,-1.553456551
27,1.032990692,4.66931527,-3.866341879
28,-2.479921099,2.689881139,4.473801628
29,-2.727383123,-5.232756872,0.620249911
30,0.733584569,-2.720501148,-5.27895181
31,3.139460373,5.637158881,3.405047608
32,1.344629156,2.90866813,3.189855037
33,-1.985715003,-5.811639572,-6.136817454
34,-2.198649116,-2.824703786,1.497221565
35,0.169828514,5.618255979,5.013429985
36,1.395238582,2.484089765,-5.598077621
37,0.936885825,-5.085345461,-0.217743973
38,0.116644225,-2.234053952,5.471369113
39,-0.706573574,4.393643359,-4.330074917
40,-0.879461428,2.403332962,-1.180913658
41,-0.495577712,-3.947467092,4.511809559
42,0.534932827,-2.513088856,-2.580481559
43,1.017770341,3.092183447,-1.872174614
44,0.856860532,3.106247591,4.136148788
45,-0.5335777,-2.502990976,-2.26965642
46,-1.746096021,-3.430200478,-1.440851306
47,-0.847144404,1.91026616,3.445452811
48,1.313490256,3.433472594,-2.446117146
49,2.121072599,-1.266109004,-0.470699185
50,-0.196138191,-3.746657736,2.740369082
51,-2.087965627,1.309175984,-2.077377937
52,-1.211955143,3.708312491,-0.917925918
53,1.257595241,-1.24561567,3.069973031
54,1.899821216,-3.80569509,-2.0242289
55,0.095709726,1.326137555,-1.140803454
56,-1.602941304,3.949383603,3.160975267
57,-1.385909468,-1.670242762,-2.14024442
