Date,Low
2010/12/1,2795.81
2010/12/2,2841.47
2010/12/3,2822.74
2010/12/6,2831.7
2010/12/7,2809.11
2010/12/8,2843.94
2010/12/9,2808.51
2010/12/10,2792.52
2010/12/13,2847.66
2010/12/14,2912.42
2010/12/15,2905.65
2010/12/16,2891.86
2010/12/17,2881
2010/12/20,2804.56
2010/12/21,2846.63
2010/12/22,2867.05
2010/12/23,2849.84
2010/12/24,2813.5
2010/12/27,2774.54
2010/12/28,2730.41
2010/12/29,2721.48
2010/12/30,2724.54
2010/12/31,2758.13
2011/1/4,2810.11
2011/1/5,2824.3
2011/1/6,2816.95
2011/1/7,2807.87
2011/1/10,2786.86
2011/1/11,2770.34
2011/1/12,2788.13
2011/1/13,2810.87
2011/1/14,2780.44
2011/1/17,2698.78
2011/1/18,2683.37
2011/1/19,2700.81
2011/1/20,2676.13
2011/1/21,2667.29
2011/1/24,2690.65
2011/1/25,2661.45
2011/1/26,2676.77
2011/1/27,2677.21
2011/1/28,2733.29
2011/1/31,2748.54
2011/2/1,2785.3
2011/2/9,2764.87
2011/2/10,2760.18
2011/2/11,2807.61
2011/2/14,2828.57
2011/2/15,2892.64
2011/2/16,2882.55
2011/2/17,2905.03
2011/2/18,2890.26
2011/2/21,2884.19
2011/2/22,2851.62
2011/2/23,2839.2
2011/2/24,2854.56
2011/2/25,2848.65
2011/2/28,2861.82
2011/3/1,2901.55
2011/3/2,2883.57
2011/3/3,2900.76
2011/3/4,2898.08
2011/3/7,2952.72
2011/3/8,2976.6
2011/3/9,2989.34
2011/3/10,2954.37
2011/3/11,2927.68
2011/3/14,2914.46
2011/3/15,2850.94
2011/3/16,2894.25
2011/3/17,2885.65
2011/3/18,2900.87
2011/3/21,2895.15
2011/3/22,2884.75
2011/3/23,2911.63
2011/3/24,2942.13
2011/3/25,2946.7
2011/3/28,2979.2
2011/3/29,2953.54
2011/3/30,2935.75
2011/3/31,2914.38
2011/4/1,2924.39
2011/4/6,2963.9
2011/4/7,2990.31
2011/4/8,2998.34
2011/4/11,3019.89
2011/4/12,3003.45
2011/4/13,2994.47
2011/4/14,3036.73
2011/4/15,3020.16
2011/4/18,3037.19
2011/4/19,2996.22
2011/4/20,2992.67
2011/4/21,3012.54
2011/4/22,3004.46
2011/4/25,2964.64
2011/4/26,2931.5
2011/4/27,2907.66
2011/4/28,2884.84
2011/4/29,2871.01
2011/5/3,2890.22
2011/5/4,2860.07
2011/5/5,2849.91
2011/5/6,2834.46
2011/5/9,2861.42
2011/5/10,2865.1
2011/5/11,2868.35
2011/5/12,2843.1
2011/5/13,2832.25
2011/5/16,2846.31
2011/5/17,2821.2
2011/5/18,2843.68
2011/5/19,2856.83
2011/5/20,2850.45
2011/5/23,2771.12
2011/5/24,2744.78
2011/5/25,2737.33
2011/5/26,2734.54
2011/5/27,2708.55
2011/5/30,2689.21
2011/5/31,2702.09
2011/6/1,2726.49
2011/6/2,2676.54
2011/6/3,2701.25
2011/6/7,2717.31
2011/6/8,2715.25
2011/6/9,2702.69
2011/6/10,2672.32
2011/6/13,2669.4
2011/6/14,2691.67
2011/6/15,2705.07
2011/6/16,2663.12
2011/6/17,2641.39
2011/6/20,2610.99
2011/6/21,2618.81
2011/6/22,2633.47
2011/6/23,2630.34
2011/6/24,2674.3
2011/6/27,2743.5
2011/6/28,2736.4
2011/6/29,2727.25
2011/6/30,2729.99
2011/7/1,2752.97
2011/7/4,2770.94
2011/7/5,2799.11
2011/7/6,2780.73
2011/7/7,2793.89
2011/7/8,2784.13
2011/7/11,2780.67
2011/7/12,2752.19
2011/7/13,2756.03
2011/7/14,2788.98
2011/7/15,2794.16
2011/7/18,2807.11
2011/7/19,2790.69
2011/7/20,2779.38
2011/7/21,2763.42
2011/7/22,2763.8
2011/7/25,2680.75
2011/7/26,2677.12
2011/7/27,2680.43
2011/7/28,2684.66
2011/7/29,2681.27
2011/8/1,2688.53
2011/8/2,2651.28
2011/8/3,2654.36
2011/8/4,2675.53
2011/8/5,2605.14
2011/8/8,2497.92
2011/8/9,2437.68
2011/8/10,2544.95
2011/8/11,2505.01
