,IMF1
1,-26.04469989
2,13.46906172
3,-6.769513908
4,3.026467697
5,-18.6353704
6,22.77427764
7,0.13898479
8,-20.27265141
9,-1.245529376
10,20.46099446
11,-2.540228858
12,-1.311119191
13,20.47123009
14,-32.17714996
15,5.609309587
16,12.96447374
17,1.982545252
18,-2.77137994
19,1.003228666
20,-5.921021254
21,2.077932331
22,-4.927758858
23,-4.212738111
24,9.837100369
25,2.215754388
26,-3.715135642
27,3.912054035
28,1.792306196
29,-10.47316816
30,-4.181669056
31,15.93497563
32,14.14898341
33,-21.68172488
34,-8.055517914
35,17.52859828
36,-3.35755361
37,-9.738628996
38,15.38171228
39,-9.350838304
40,4.969261368
41,-12.24817274
42,10.15524847
43,-7.000174334
44,14.09729174
45,-5.359275759
46,-13.8315809
47,8.676031091
48,-9.17162246
49,18.91254431
50,-12.61630295
51,3.622392784
52,-3.815532086
53,7.630512733
54,-4.17034464
55,-4.595030775
56,10.14276508
57,-5.514697855
58,-8.514485476
59,16.66423948
60,-6.822250568
61,6.098879824
62,-13.96364737
63,8.037792639
64,2.349930834
65,8.157864625
66,-7.638559888
67,-1.722317348
68,16.43004733
69,-28.32086063
70,15.11605206
71,-2.886299575
72,5.859274581
73,1.145360316
74,-10.49270329
75,1.342886114
76,6.563151002
77,-12.03166727
78,11.43335975
79,-2.164254775
80,2.469088241
81,-5.941845453
82,-6.249851148
83,4.719764431
84,2.886424975
85,-6.166853871
86,10.81086944
87,-2.63231009
88,-14.61362213
89,15.03620148
90,-8.996360626
91,15.35797566
92,-10.90363829
93,-9.088345852
94,8.267501316
95,8.255846428
96,-4.577269933
97,-2.927408847
98,2.928670432
99,-1.142592858
100,-8.788319099
101,13.59908582
102,-3.652428353
103,1.580786109
104,-10.48754206
105,6.33136349
106,0.797585388
107,6.412769336
108,-6.569146578
109,-5.027489171
110,14.83495734
111,-13.28811609
112,-2.924648762
113,4.241572134
114,19.47659355
115,-16.21100069
116,-6.316113421
117,3.151086183
118,11.14483422
119,-1.02072899
120,-11.32408708
121,-0.150766994
122,23.18928624
123,-22.19663451
124,-0.051759429
125,6.241553568
126,2.977716004
127,5.243497043
128,-7.690536464
129,-8.358677123
130,2.924622827
131,14.20320374
132,-7.203542112
133,1.19143906
134,-8.629044158
135,3.806847869
136,11.31242961
137,-12.95342445
138,-8.835632792
139,20.30794948
140,-1.789342467
141,-7.111586578
142,-4.848702291
143,2.650628208
144,-1.763980696
145,11.42302996
146,-10.65487116
147,4.081331007
148,-0.030050933
149,7.785404612
150,-9.218337644
151,-6.901987395
152,9.443815697
153,-2.217287147
154,5.166483212
155,-5.599548549
156,-5.718998792
157,-4.317048492
158,25.73270108
159,-20.64638579
160,-1.485108229
161,4.081047402
162,2.18718179
163,-2.414896317
164,11.65558494
165,-18.52182672
166,-13.92579908
167,24.55105805
168,12.77172721
169,-17.87660019
170,-40.74001039
171,49.07680601
172,-28.84547512
173,16.91265544
174,-8.886122861
175,-0.514560009
176,7.238317522
177,1.284590995
178,-7.904769346
179,0.075530352
180,0.732140838
181,3.21196795
182,-12.26993956
183,17.51543078
184,-5.578298008
185,-1.706961406
186,-8.244021334
187,8.855309082
188,5.007835101
189,-3.936591606
190,-9.786429256
191,-2.72257999
192,10.47806043
193,7.15556827
194,-7.969675661
195,-15.66886615
196,15.66876541
197,14.27242436
198,-10.69162798
199,-10.63960528
200,3.615147425
201,14.35932293
202,-9.862654558
203,-9.379379299
204,8.385803237
205,4.015400683
206,-7.067429005
207,0.291947866
208,7.821533409
209,-1.269619062
210,-24.1078865
211,24.68277861
212,-3.164138214
213,9.25014942
214,-14.11296891
215,15.65551783
216,-9.217171325
217,5.976007817
218,-10.25951807
219,6.006110838
220,0.616633644
221,-4.183749398
222,6.214932812
223,4.918836304
224,0.478592939
225,-22.81035294
226,21.10989708
227,3.321616786
228,-4.883461223
229,-1.697375968
230,1.730065326
231,0.104864002
232,-9.936913643
233,-0.428584734
234,20.68432018
235,-19.7913319
236,13.26827756
237,-6.228259539
238,-1.685703122
239,-0.404432286
240,7.76232815
241,-7.062722238
242,-3.112432473
243,-2.277849368
244,21.12708483
245,-37.39066774
246,24.18377427
247,-0.077175507
248,-2.044742527
249,-5.915266786
250,7.466142043
251,-6.72358348
252,5.362353663
253,4.706399248
254,-8.222564386
255,7.321654015
256,-6.618386625
257,-1.936974178
258,-13.2042282
259,20.78484083
260,8.926110668
261,-21.11963305
262,5.290770097
263,12.46762871
264,2.207860293
265,-15.57881911
266,-0.300186538
267,8.140931325
268,4.77458482
269,1.643397787
270,-2.886831598
271,-12.96919819
272,3.89547722
273,7.612269942
274,4.963973222
275,-5.544235364
276,-0.340303604
277,-14.43925587
278,19.01699748
279,-9.831409855
280,7.268684268
281,-1.541706768
282,2.416376239
283,-4.737273691
284,-8.868301129
285,6.144423065
286,17.66817867
287,-14.49325838
288,-12.97571796
289,13.46530009
290,5.813492971
291,-9.074344559
292,0.489080386
293,0.674788278
294,0.662810187
295,-3.453673063
296,10.20027295
297,-11.39894645
298,2.990285862
299,3.55260475
300,-10.87010373
301,12.38525535
302,-1.994044227
303,-1.157512127
304,-7.846048469
305,-0.427339347
306,14.97257243
307,-4.191268696
308,-7.053851926
309,2.462406278
310,1.215405898
311,-3.382400109
312,12.98541665
313,-7.344505972
314,-4.497639758
315,-0.902913017
316,7.676271078
317,0.654077272
318,-5.166810085
319,7.226604041
320,-8.580431554
321,-4.864375565
322,20.11037806
323,-5.218451422
324,-10.57109239
325,1.9276097
326,-8.204286072
327,13.67109734
328,5.926857375
329,-12.80666379
330,-1.640455668
331,-1.853487
332,12.08999162
333,1.426165753
334,-4.777042458
335,-7.471487411
336,7.252121257
337,-1.414404636
338,11.15792134
339,-16.4719479
340,3.794264828
341,7.680307991
342,-3.965057946
343,-3.087134338
344,3.918987619
345,-3.789226198
346,0.350843809
347,5.562779695
348,-6.112399842
349,-0.025916497
350,2.489249414
351,2.698986029
352,-3.031913262
353,-0.923288532
354,3.937442151
355,2.867025079
356,-9.246537284
357,6.260624528
358,-0.421027775
359,3.842065874
360,0.80956186
361,-18.23060986
362,9.090068836
